age,race,hispanic,year,pop_est
0,american_indian,0,1999,188538
0,american_indian,1,1999,62831
0,asian_pacific,0,1999,774282
0,asian_pacific,1,1999,51945
0,black,0,1999,2919021
0,black,1,1999,176913
0,white,0,1999,11640542
0,white,1,1999,3321472
5,american_indian,0,1999,224248
5,american_indian,1,1999,67781
5,asian_pacific,0,1999,772602
5,asian_pacific,1,1999,47276
5,black,0,1999,3323092
5,black,1,1999,169095
5,white,0,1999,12793052
5,white,1,1999,3209314
10,american_indian,0,1999,225209
10,american_indian,1,1999,59458
10,asian_pacific,0,1999,776758
10,asian_pacific,1,1999,39484
10,black,0,1999,3111128
10,black,1,1999,139857
10,white,0,1999,13089524
10,white,1,1999,2771946
15,american_indian,0,1999,213652
15,american_indian,1,1999,57541
15,asian_pacific,0,1999,829336
15,asian_pacific,1,1999,37476
15,black,0,1999,2966775
15,black,1,1999,132638
15,white,0,1999,13005844
15,white,1,1999,2841340
20,american_indian,0,1999,173179
20,american_indian,1,1999,54216
20,asian_pacific,0,1999,887044
20,asian_pacific,1,1999,37324
20,black,0,1999,2594143
20,black,1,1999,136803
20,white,0,1999,11689266
20,white,1,1999,3019454
25,american_indian,0,1999,167027
25,american_indian,1,1999,51992
25,asian_pacific,0,1999,1051639
25,asian_pacific,1,1999,35921
25,black,0,1999,2585535
25,black,1,1999,132531
25,white,0,1999,12508332
25,white,1,1999,3042080
30,american_indian,0,1999,166135
30,american_indian,1,1999,47701
30,asian_pacific,0,1999,988041
30,asian_pacific,1,1999,32128
30,black,0,1999,2642030
30,black,1,1999,125012
30,white,0,1999,13756381
30,white,1,1999,2845921
35,american_indian,0,1999,186503
35,american_indian,1,1999,45291
35,asian_pacific,0,1999,967367
35,asian_pacific,1,1999,29066
35,black,0,1999,2841540
35,black,1,1999,109925
35,white,0,1999,16160174
35,white,1,1999,2542683
40,american_indian,0,1999,175103
40,american_indian,1,1999,36867
40,asian_pacific,0,1999,895251
40,asian_pacific,1,1999,23377
40,black,0,1999,2669053
40,black,1,1999,90420
40,white,0,1999,16251324
40,white,1,1999,2052733
45,american_indian,0,1999,148767
45,american_indian,1,1999,26764
45,asian_pacific,0,1999,779606
45,asian_pacific,1,1999,17557
45,black,0,1999,2219912
45,black,1,1999,69931
45,white,0,1999,14825109
45,white,1,1999,1566561
50,american_indian,0,1999,119893
50,american_indian,1,1999,18570
50,asian_pacific,0,1999,631357
50,asian_pacific,1,1999,12534
50,black,0,1999,1718458
50,black,1,1999,51005
50,white,0,1999,13170696
50,white,1,1999,1201099
55,american_indian,0,1999,86125
55,american_indian,1,1999,11723
55,asian_pacific,0,1999,441545
55,asian_pacific,1,1999,7916
55,black,0,1999,1277516
55,black,1,1999,34500
55,white,0,1999,10367854
55,white,1,1999,857642
60,american_indian,0,1999,64348
60,american_indian,1,1999,8242
60,asian_pacific,0,1999,350538
60,asian_pacific,1,1999,5875
60,black,0,1999,1045244
60,black,1,1999,27099
60,white,0,1999,8507705
60,white,1,1999,684154
65,american_indian,0,1999,46712
65,american_indian,1,1999,6007
65,asian_pacific,0,1999,283010
65,asian_pacific,1,1999,4339
65,black,0,1999,884430
65,black,1,1999,20471
65,white,0,1999,7748551
65,white,1,1999,547978
70,american_indian,0,1999,34673
70,american_indian,1,1999,4212
70,asian_pacific,0,1999,223950
70,asian_pacific,1,1999,3155
70,black,0,1999,724103
70,black,1,1999,15076
70,white,0,1999,7437246
70,white,1,1999,434996
75,american_indian,0,1999,23835
75,american_indian,1,1999,2630
75,asian_pacific,0,1999,156809
75,asian_pacific,1,1999,1928
75,black,0,1999,550276
75,black,1,1999,9865
75,white,0,1999,6301897
75,white,1,1999,295366
80,american_indian,0,1999,13543
80,american_indian,1,1999,1265
80,asian_pacific,0,1999,86924
80,asian_pacific,1,1999,983
80,black,0,1999,340698
80,black,1,1999,5397
80,white,0,1999,4270892
80,white,1,1999,162606
85,american_indian,0,1999,11186
85,american_indian,1,1999,994
85,asian_pacific,0,1999,61284
85,asian_pacific,1,1999,869
85,black,0,1999,309282
85,black,1,1999,4347
85,white,0,1999,3629729
85,white,1,1999,136327
0,american_indian,0,2000,194968
0,american_indian,1,2000,73759
0,asian_pacific,0,2000,795088
0,asian_pacific,1,2000,54746
0,black,0,2000,2927004
0,black,1,2000,183522
0,white,0,2000,11513561
0,white,1,2000,3435645
5,american_indian,0,2000,219178
5,american_indian,1,2000,72908
5,asian_pacific,0,2000,799712
5,asian_pacific,1,2000,49401
5,black,0,2000,3278309
5,black,1,2000,176039
5,white,0,2000,12528724
5,white,1,2000,3339581
10,american_indian,0,2000,232896
10,american_indian,1,2000,69005
10,asian_pacific,0,2000,800724
10,asian_pacific,1,2000,42009
10,black,0,2000,3211353
10,black,1,2000,150647
10,white,0,2000,13181650
10,white,1,2000,2949412
15,american_indian,0,2000,219686
15,american_indian,1,2000,66367
15,asian_pacific,0,2000,857935
15,asian_pacific,1,2000,39392
15,black,0,2000,2983753
15,black,1,2000,138071
15,white,0,2000,13036838
15,white,1,2000,2952913
20,american_indian,0,2000,180431
20,american_indian,1,2000,63881
20,asian_pacific,0,2000,928837
20,asian_pacific,1,2000,40284
20,black,0,2000,2675191
20,black,1,2000,146549
20,white,0,2000,11891177
20,white,1,2000,3190317
25,american_indian,0,2000,166505
25,american_indian,1,2000,58511
25,asian_pacific,0,2000,1089902
25,asian_pacific,1,2000,36777
25,black,0,2000,2550721
25,black,1,2000,136519
25,white,0,2000,12062824
25,white,1,2000,3178504
30,american_indian,0,2000,168301
30,american_indian,1,2000,55064
30,asian_pacific,0,2000,1050810
30,asian_pacific,1,2000,33376
30,black,0,2000,2624684
30,black,1,2000,127546
30,white,0,2000,13526850
30,white,1,2000,2937603
35,american_indian,0,2000,187721
35,american_indian,1,2000,52452
35,asian_pacific,0,2000,1002245
35,asian_pacific,1,2000,30056
35,black,0,2000,2836592
35,black,1,2000,113551
35,white,0,2000,15773570
35,white,1,2000,2654665
40,american_indian,0,2000,182068
40,american_indian,1,2000,43691
40,asian_pacific,0,2000,932013
40,asian_pacific,1,2000,24566
40,black,0,2000,2730834
40,black,1,2000,94574
40,white,0,2000,16334514
40,white,1,2000,2175731
45,american_indian,0,2000,156501
45,american_indian,1,2000,32971
45,asian_pacific,0,2000,819970
45,asian_pacific,1,2000,18792
45,black,0,2000,2303488
45,black,1,2000,74789
45,white,0,2000,15140133
45,white,1,2000,1672883
50,american_indian,0,2000,129274
50,american_indian,1,2000,23415
50,asian_pacific,0,2000,688020
50,asian_pacific,1,2000,13791
50,black,0,2000,1844194
50,black,1,2000,55907
50,white,0,2000,13731719
50,white,1,2000,1293127
55,american_indian,0,2000,91591
55,american_indian,1,2000,14665
55,asian_pacific,0,2000,475396
55,asian_pacific,1,2000,8721
55,black,0,2000,1321767
55,black,1,2000,36612
55,white,0,2000,10702948
55,white,1,2000,914237
60,american_indian,0,2000,67849
60,american_indian,1,2000,10185
60,asian_pacific,0,2000,373727
60,asian_pacific,1,2000,6406
60,black,0,2000,1072159
60,black,1,2000,28819
60,white,0,2000,8590601
60,white,1,2000,713383
65,american_indian,0,2000,49480
65,american_indian,1,2000,7472
65,asian_pacific,0,2000,296715
65,asian_pacific,1,2000,4749
65,black,0,2000,887599
65,black,1,2000,21588
65,white,0,2000,7685794
65,white,1,2000,570512
70,american_indian,0,2000,36570
70,american_indian,1,2000,5597
70,asian_pacific,0,2000,237908
70,asian_pacific,1,2000,3545
70,black,0,2000,735564
70,black,1,2000,16391
70,white,0,2000,7366773
70,white,1,2000,457680
75,american_indian,0,2000,25670
75,american_indian,1,2000,3673
75,asian_pacific,0,2000,168747
75,asian_pacific,1,2000,2288
75,black,0,2000,556639
75,black,1,2000,10931
75,white,0,2000,6355486
75,white,1,2000,315185
80,american_indian,0,2000,14882
80,american_indian,1,2000,1911
80,asian_pacific,0,2000,95998
80,asian_pacific,1,2000,1311
80,black,0,2000,350330
80,black,1,2000,6411
80,white,0,2000,4339809
80,white,1,2000,173888
85,american_indian,0,2000,12661
85,american_indian,1,2000,1562
85,asian_pacific,0,2000,68252
85,asian_pacific,1,2000,1207
85,black,0,2000,314794
85,black,1,2000,5268
85,white,0,2000,3714349
85,white,1,2000,144379
0,american_indian,0,2001,194538
0,american_indian,1,2001,79661
0,asian_pacific,0,2001,830290
0,asian_pacific,1,2001,58121
0,black,0,2001,2931205
0,black,1,2001,188813
0,white,0,2001,11435173
0,white,1,2001,3580416
5,american_indian,0,2001,211701
5,american_indian,1,2001,77848
5,asian_pacific,0,2001,820284
5,asian_pacific,1,2001,52086
5,black,0,2001,3199998
5,black,1,2001,181777
5,white,0,2001,12244765
5,white,1,2001,3384903
10,american_indian,0,2001,236163
10,american_indian,1,2001,77932
10,asian_pacific,0,2001,826014
10,asian_pacific,1,2001,46067
10,black,0,2001,3307130
10,black,1,2001,163413
10,white,0,2001,13213931
10,white,1,2001,3108028
15,american_indian,0,2001,224736
15,american_indian,1,2001,75733
15,asian_pacific,0,2001,870399
15,asian_pacific,1,2001,41831
15,black,0,2001,3020466
15,black,1,2001,143568
15,white,0,2001,13052562
15,white,1,2001,3026989
20,american_indian,0,2001,186271
20,american_indian,1,2001,72469
20,asian_pacific,0,2001,984917
20,asian_pacific,1,2001,44161
20,black,0,2001,2774645
20,black,1,2001,157188
20,white,0,2001,12244561
20,white,1,2001,3293074
25,american_indian,0,2001,161927
25,american_indian,1,2001,66218
25,asian_pacific,0,2001,1124897
25,asian_pacific,1,2001,40096
25,black,0,2001,2481006
25,black,1,2001,144383
25,white,0,2001,11543224
25,white,1,2001,3257596
30,american_indian,0,2001,167962
30,american_indian,1,2001,62566
30,asian_pacific,0,2001,1110192
30,asian_pacific,1,2001,36743
30,black,0,2001,2629718
30,black,1,2001,135379
30,white,0,2001,13465904
30,white,1,2001,3043711
35,american_indian,0,2001,183904
35,american_indian,1,2001,59063
35,asian_pacific,0,2001,1035924
35,asian_pacific,1,2001,32365
35,black,0,2001,2814560
35,black,1,2001,120486
35,white,0,2001,15238532
35,white,1,2001,2751084
40,american_indian,0,2001,185309
40,american_indian,1,2001,49552
40,asian_pacific,0,2001,959069
40,asian_pacific,1,2001,27117
40,black,0,2001,2779558
40,black,1,2001,100292
40,white,0,2001,16422552
40,white,1,2001,2292385
45,american_indian,0,2001,161623
45,american_indian,1,2001,37719
45,asian_pacific,0,2001,861696
45,asian_pacific,1,2001,20708
45,black,0,2001,2377814
45,black,1,2001,80262
45,white,0,2001,15385454
45,white,1,2001,1773707
50,american_indian,0,2001,137239
50,american_indian,1,2001,27231
50,asian_pacific,0,2001,737066
50,asian_pacific,1,2001,15596
50,black,0,2001,1978899
50,black,1,2001,61028
50,white,0,2001,14348077
50,white,1,2001,1382149
55,american_indian,0,2001,94985
55,american_indian,1,2001,16892
55,asian_pacific,0,2001,508249
55,asian_pacific,1,2001,9784
55,black,0,2001,1365442
55,black,1,2001,39978
55,white,0,2001,10959039
55,white,1,2001,974606
60,american_indian,0,2001,70690
60,american_indian,1,2001,11343
60,asian_pacific,0,2001,396002
60,asian_pacific,1,2001,6987
60,black,0,2001,1094579
60,black,1,2001,30256
