"race_ethnicity","year","age","age_cat","total_d","opioid_d","drug_d","nonop_drug_d","had_opium","had_heroin","had_natural","had_methadone","had_synth","had_other_op","had_unspec_op","had_nonh_nonm","pop","pop_std","unit_w"
"all_hispanic",1999,0,"0-4",5294,1,11,10,0,0,1,0,0,0,0,1,3613161,18986520,0.0691339919673788
"all_hispanic",1999,5,"5-9",464,0,1,1,0,0,0,0,0,0,0,0,3493466,19919840,0.0725324102864281
"all_hispanic",1999,10,"10-14",550,1,2,1,0,0,1,0,0,0,0,1,3010745,20056779,0.0730310345591237
"all_hispanic",1999,15,"15-19",1871,23,40,17,0,8,6,3,0,8,0,14,3068995,19819518,0.0721671163651538
"all_hispanic",1999,20,"20-24",2634,61,108,47,0,26,24,3,1,14,0,38,3247797,18257225,0.0664784724371095
"all_hispanic",1999,25,"25-29",2527,104,183,79,0,37,39,5,4,38,0,78,3262524,17722067,0.0645298473666238
"all_hispanic",1999,30,"30-34",2870,166,261,95,0,48,64,8,10,64,0,134,3050762,19511370,0.0710450833987775
"all_hispanic",1999,35,"35-39",3624,235,346,111,0,69,97,17,10,85,0,187,2726965,22179956,0.0807619774419333
"all_hispanic",1999,40,"40-44",4174,188,295,107,0,63,70,9,6,77,0,152,2203397,22479229,0.0818516946296041
"all_hispanic",1999,45,"45-49",4767,145,206,61,0,50,62,12,8,45,0,114,1680813,19805793,0.0721171406961133
"all_hispanic",1999,50,"50-54",5109,74,113,39,0,24,24,9,2,33,0,59,1283208,17224359,0.0627175857792397
"all_hispanic",1999,55,"55-59",5495,26,38,12,0,8,8,2,2,11,0,21,911781,13307234,0.0484544934229143
"all_hispanic",1999,60,"60-64",6824,18,27,9,0,5,4,0,1,10,0,15,725370,10654272,0.0387944897151384
"all_hispanic",1999,65,"65-69",8843,10,15,5,0,5,6,1,0,2,0,8,578795,9409940,0.034263609991379
"all_hispanic",1999,70,"70-74",10358,4,10,6,0,1,3,1,1,0,0,4,457439,8725574,0.0317716865874721
"all_hispanic",1999,75,"75-79",11081,0,4,4,0,0,0,0,0,0,0,0,309789,7414559,0.0269979997570727
"all_hispanic",1999,80,"80-84",9831,0,1,1,0,0,0,0,0,0,0,0,170251,4900234,0.0178428031042169
"all_hispanic",1999,85,"85+",17358,0,2,2,0,0,0,0,0,0,0,0,142537,4259173,0.0155085624943211
"all_hispanic",2000,0,"0-4",5470,2,4,2,0,0,1,1,0,0,0,1,3747672,18986520,0.0691339919673788
"all_hispanic",2000,5,"5-9",510,0,0,0,0,0,0,0,0,0,0,0,3637929,19919840,0.0725324102864281
"all_hispanic",2000,10,"10-14",555,0,3,3,0,0,0,0,0,0,0,0,3211073,20056779,0.0730310345591237
"all_hispanic",2000,15,"15-19",1953,16,32,16,0,3,2,2,1,9,0,12,3196743,19819518,0.0721671163651538
"all_hispanic",2000,20,"20-24",2840,54,95,41,0,18,16,2,1,23,0,40,3441031,18257225,0.0664784724371095
"all_hispanic",2000,25,"25-29",2598,93,146,53,0,34,27,9,1,36,0,64,3410311,17722067,0.0645298473666238
"all_hispanic",2000,30,"30-34",2911,143,236,93,0,49,43,8,4,63,0,109,3153589,19511370,0.0710450833987775
"all_hispanic",2000,35,"35-39",3656,187,291,104,0,62,65,17,5,76,0,143,2850724,22179956,0.0807619774419333
"all_hispanic",2000,40,"40-44",4429,165,264,99,0,55,42,11,9,67,0,116,2338562,22479229,0.0818516946296041
"all_hispanic",2000,45,"45-49",4990,119,180,61,0,33,53,7,2,45,0,96,1799435,19805793,0.0721171406961133
"all_hispanic",2000,50,"50-54",5366,48,97,49,0,15,15,7,3,17,0,34,1386240,17224359,0.0627175857792397
"all_hispanic",2000,55,"55-59",5876,30,50,20,0,13,10,0,2,15,0,26,974235,13307234,0.0484544934229143
"all_hispanic",2000,60,"60-64",6857,7,14,7,0,4,4,1,0,1,0,5,758793,10654272,0.0387944897151384
"all_hispanic",2000,65,"65-69",8546,2,9,7,0,1,1,0,1,0,0,2,604321,9409940,0.034263609991379
"all_hispanic",2000,70,"70-74",10874,2,8,6,0,0,1,0,0,2,0,2,483213,8725574,0.0317716865874721
"all_hispanic",2000,75,"75-79",11578,0,4,4,0,0,0,0,0,0,0,0,332077,7414559,0.0269979997570727
"all_hispanic",2000,80,"80-84",10373,0,3,3,0,0,0,0,0,0,0,0,183521,4900234,0.0178428031042169
"all_hispanic",2000,85,"85+",17818,0,4,4,0,0,0,0,0,0,0,0,152416,4259173,0.0155085624943211
"all_hispanic",2001,0,"0-4",5597,2,4,2,0,0,1,1,0,0,0,1,3907011,18986520,0.0691339919673788
"all_hispanic",2001,5,"5-9",480,0,0,0,0,0,0,0,0,0,0,0,3696614,19919840,0.0725324102864281
"all_hispanic",2001,10,"10-14",558,2,5,3,0,1,1,0,0,0,0,1,3395440,20056779,0.0730310345591237
"all_hispanic",2001,15,"15-19",1998,25,48,23,0,10,8,1,0,8,0,16,3288121,19819518,0.0721671163651538
"all_hispanic",2001,20,"20-24",3060,57,98,41,0,21,15,4,1,25,0,41,3566892,18257225,0.0664784724371095
"all_hispanic",2001,25,"25-29",2863,87,163,76,0,33,17,3,2,39,0,57,3508293,17722067,0.0645298473666238
"all_hispanic",2001,30,"30-34",2934,116,209,93,0,32,29,14,7,48,0,81,3278399,19511370,0.0710450833987775
"all_hispanic",2001,35,"35-39",3859,177,290,113,1,58,47,26,8,68,0,116,2962998,22179956,0.0807619774419333
"all_hispanic",2001,40,"40-44",4582,162,257,95,0,50,58,13,4,57,0,116,2469346,22479229,0.0818516946296041
"all_hispanic",2001,45,"45-49",5397,122,192,70,1,36,41,14,7,45,0,91,1912396,19805793,0.0721171406961133
"all_hispanic",2001,50,"50-54",5965,70,114,44,0,22,30,3,3,28,0,60,1486004,17224359,0.0627175857792397
"all_hispanic",2001,55,"55-59",6114,32,51,19,0,14,9,3,0,15,0,24,1041260,13307234,0.0484544934229143
"all_hispanic",2001,60,"60-64",7223,9,16,7,0,2,6,2,0,2,0,7,790638,10654272,0.0387944897151384
"all_hispanic",2001,65,"65-69",8910,7,14,7,0,3,5,0,1,0,0,6,627630,9409940,0.034263609991379
"all_hispanic",2001,70,"70-74",11262,4,10,6,0,0,1,1,1,1,0,3,503416,8725574,0.0317716865874721
"all_hispanic",2001,75,"75-79",12560,1,5,4,0,0,1,0,0,0,0,1,352056,7414559,0.0269979997570727
"all_hispanic",2001,80,"80-84",11077,1,4,3,0,0,0,0,1,0,0,1,199795,4900234,0.0178428031042169
"all_hispanic",2001,85,"85+",18907,0,1,1,0,0,0,0,0,0,0,0,157787,4259173,0.0155085624943211
"all_hispanic",2002,0,"0-4",5876,3,9,6,0,0,2,0,0,1,0,3,4076951,18986520,0.0691339919673788
"all_hispanic",2002,5,"5-9",538,0,0,0,0,0,0,0,0,0,0,0,3737908,19919840,0.0725324102864281
"all_hispanic",2002,10,"10-14",586,0,2,2,0,0,0,0,0,0,0,0,3581273,20056779,0.0730310345591237
"all_hispanic",2002,15,"15-19",2086,21,53,32,0,6,7,4,1,6,0,14,3373844,19819518,0.0721671163651538
"all_hispanic",2002,20,"20-24",3169,68,146,78,0,24,24,10,0,18,0,39,3688014,18257225,0.0664784724371095
"all_hispanic",2002,25,"25-29",2803,98,169,71,0,34,30,8,7,29,0,64,3608849,17722067,0.0645298473666238
"all_hispanic",2002,30,"30-34",3013,146,235,89,0,35,48,16,9,51,0,105,3410664,19511370,0.0710450833987775
"all_hispanic",2002,35,"35-39",3644,190,307,117,0,70,52,14,13,65,0,126,3052589,22179956,0.0807619774419333
"all_hispanic",2002,40,"40-44",4823,221,355,134,0,66,88,23,8,75,0,167,2599592,22479229,0.0818516946296041
"all_hispanic",2002,45,"45-49",5527,179,279,100,0,66,72,16,9,54,0,125,2038783,19805793,0.0721171406961133
