"year","race","opioid_type","std_rate","sd"
1979,"black","drug",3.80894230941861,0.136680979850674
1980,"black","drug",4.08694872573583,0.144184722558071
1981,"black","drug",4.38050026879039,0.147247669915234
1982,"black","drug",4.32233183530161,0.142627766528266
1983,"black","drug",3.96852375407774,0.137658184139292
1984,"black","drug",4.64761036318899,0.145101467895727
1985,"black","drug",4.68645326162972,0.144620271462349
1986,"black","drug",5.62711673903369,0.156827480719285
1987,"black","drug",6.04322176853538,0.159118108718238
1988,"black","drug",7.05517104213188,0.169148977218415
1989,"black","drug",7.46833488073464,0.172475071888087
1990,"black","drug",5.73098762504202,0.150220450874399
1991,"black","drug",7.07072458522344,0.164466055453767
1992,"black","drug",7.57354598417163,0.168318092359333
1993,"black","drug",9.22524232782771,0.182856303660801
1994,"black","drug",9.66759110888955,0.186233987572981
1995,"black","drug",9.5193785112909,0.182153316082068
1996,"black","drug",9.0230615606396,0.17480129000571
1997,"black","drug",9.48050474211778,0.177549987975474
1998,"black","drug",9.71421953694392,0.178052712245663
1999,"black","drug",7.57570410251756,0.15382854437597
2000,"black","drug",7.26786095160849,0.148609649701845
2001,"black","drug",7.55212615695546,0.150016367193769
2002,"black","drug",8.13343346965586,0.15387503500925
2003,"black","drug",8.14290540119742,0.152972557801963
2004,"black","drug",8.1902190121354,0.151989366284813
2005,"black","drug",9.24271351153261,0.159707605061363
2006,"black","drug",10.6343863882117,0.170053028131444
2007,"black","drug",9.55701332286382,0.159790749747813
2008,"black","drug",8.29460936777993,0.147788002662525
2009,"black","drug",8.17362760974449,0.145421765020338
2010,"black","drug",7.89543828386164,0.141742155344301
2011,"black","drug",8.46972966671772,0.145965778547468
2012,"black","drug",8.63995319380037,0.146529290395969
2013,"black","drug",9.49652939615117,0.152255798230817
2014,"black","drug",10.4061001160788,0.158919069332919
2015,"black","drug",12.0700279419447,0.170336345704877
2016,"black","drug",16.9621849455289,0.200445659506334
2017,"black","drug",0,0
1979,"total","drug",3.74359204629972,0.0433676088162566
1980,"total","drug",3.57971136920048,0.0422670165905391
1981,"total","drug",3.56801665891623,0.0418597607446907
1982,"total","drug",3.58638501146638,0.0413310647340145
