"opioid_type";"race";"Model";"Segment";"Segment Start";"Segment End";"APC";"APC 95% LCL";"APC 95% UCL";"APC Significant";"Test Statistic";"P-Value"
"drug";"black";5;0;1979;1994;6.43644;4.98192;7.91112;1;9.40153;0.00000
"drug";"black";5;1;1994;2003;1.32952;-1.12608;3.84610;0;1.11652;0.27625
"drug";"black";5;2;2003;2006;8.93585;-11.64122;34.30492;0;0.84785;0.40565
"drug";"black";5;3;2006;2010;-6.80302;-15.73324;3.07359;0;-1.45059;0.16100
"drug";"black";5;4;2010;2014;7.14425;-2.76915;18.06840;0;1.47402;0.15464
"drug";"black";5;5;2014;2017;26.59576;17.77625;36.07571;1;6.77279;0.00000
"drug";"total";4;0;1979;1983;-0.93129;-6.88302;5.40086;0;-0.31102;0.75836
"drug";"total";4;1;1983;2000;4.27334;3.66014;4.89017;1;14.61197;0.00000
"drug";"total";4;2;2000;2006;9.85195;7.20943;12.55960;1;7.94771;0.00000
"drug";"total";4;3;2006;2014;2.95987;1.77905;4.15438;1;5.20806;0.00002
"drug";"total";4;4;2014;2017;15.70191;11.70475;19.84210;1;8.54366;0.00000
"drug";"white";4;0;1979;1990;2.08097;0.90928;3.26626;1;3.67437;0.00114
"drug";"white";4;1;1990;2000;5.32530;4.02311;6.64380;1;8.58927;0.00000
"drug";"white";4;2;2000;2006;11.12041;8.60227;13.69694;1;9.47411;0.00000
"drug";"white";4;3;2006;2014;3.50915;2.40529;4.62492;1;6.62518;0.00000
"drug";"white";4;4;2014;2017;14.55835;10.82749;18.41480;1;8.45440;0.00000
"nonopioid";"black";4;0;1979;2003;4.46641;2.96255;5.99225;1;6.20623;0.00000
"nonopioid";"black";4;1;2003;2006;12.23409;-32.59280;86.87160;0;0.46624;0.64508
"nonopioid";"black";4;2;2006;2009;-11.33664;-46.04282;45.69318;0;-0.49896;0.62217
"nonopioid";"black";4;3;2009;2014;1.24539;-14.01375;19.21241;0;0.15604;0.87725
"nonopioid";"black";4;4;2014;2017;16.44310;-6.04583;44.31500;0;1.46102;0.15647
"nonopioid";"total";4;0;1979;1982;-2.42311;-12.95838;9.38731;0;-0.44217;0.66217
"nonopioid";"total";4;1;1982;2000;2.12371;1.41297;2.83944;1;6.19713;0.00000
"nonopioid";"total";4;2;2000;2006;9.27196;5.29884;13.39499;1;4.93065;0.00004
"nonopioid";"total";4;3;2006;2014;0.33018;-1.50377;2.19829;0;0.36800;0.71597
"nonopioid";"total";4;4;2014;2017;6.22707;-0.42515;13.32370;0;1.92385;0.06583
"nonopioid";"white";4;0;1979;1982;-2.83879;-11.53270;6.70949;0;-0.63274;0.53265
"nonopioid";"white";4;1;1982;2000;1.74745;1.15149;2.34693;1;6.07346;0.00000
"nonopioid";"white";4;2;2000;2006;10.07046;6.70168;13.54561;1;6.35744;0.00000
"nonopioid";"white";4;3;2006;2015;1.10126;-0.16160;2.38010;0;1.79455;0.08483
"nonopioid";"white";4;4;2015;2017;6.56386;-4.24702;18.59534;0;1.22399;0.23237
"opioid";"black";2;0;1979;1994;10.85445;8.57993;13.17662;1;10.13759;0.00000
"opioid";"black";2;1;1994;2012;0.24365;-0.64878;1.14410;0;0.55502;0.58286
"opioid";"black";2;2;2012;2017;28.39585;24.07733;32.86467;1;14.89993;0.00000
"opioid";"total";2;0;1979;2006;10.48962;9.99297;10.98851;1;45.15853;0.00000
"opioid";"total";2;1;2006;2013;4.26469;2.43554;6.12651;1;4.81243;0.00004
"opioid";"total";2;2;2013;2017;17.77862;14.85292;20.77885;1;13.26761;0.00000
"opioid";"white";2;0;1979;2007;11.10200;10.57978;11.62668;1;45.57339;0.00000
"opioid";"white";2;1;2007;2013;4.14184;1.54099;6.80931;1;3.27271;0.00262
"opioid";"white";2;2;2013;2017;17.23533;14.00613;20.55601;1;11.61103;0.00000
