"opioid_type";"race";"year";"std_rate";"Model";"Standard Error";"Flag";"Joinpoints";"Final Selected Model"
"drug";"black";1979;3.80894;3.86305;0.13668;NA;4;4
"drug";"black";1980;4.08695;4.07317;0.14418;NA;4;4
"drug";"black";1981;4.38050;4.29473;0.14725;NA;4;4
"drug";"black";1982;4.32233;4.52833;0.14263;NA;4;4
"drug";"black";1983;3.96852;4.77465;0.13766;NA;4;4
"drug";"black";1984;4.64761;5.03436;0.14510;NA;4;4
"drug";"black";1985;4.68645;5.30820;0.14462;NA;4;4
"drug";"black";1986;5.62712;5.59693;0.15683;NA;4;4
"drug";"black";1987;6.04322;5.90137;0.15912;NA;4;4
"drug";"black";1988;7.05517;6.22237;0.16915;NA;4;4
"drug";"black";1989;7.46833;6.56082;0.17248;NA;4;4
"drug";"black";1990;5.73099;6.91769;0.15022;NA;4;4
"drug";"black";1991;7.07072;7.29397;0.16447;NA;4;4
"drug";"black";1992;7.57355;7.69072;0.16832;NA;4;4
"drug";"black";1993;9.22524;8.10905;0.18286;NA;4;4
"drug";"black";1994;9.66759;8.55013;0.18623;NA;4;4
"drug";"black";1995;9.51938;9.01520;0.18215;NA;4;4
"drug";"black";1996;9.02306;9.50557;0.17480;NA;4;4
"drug";"black";1997;9.48050;10.02262;0.17755;NA;4;4
"drug";"black";1998;9.71422;10.56779;0.17805;NA;4;4
"drug";"black";1999;NA;10.85139;NA;NA;4;4
"drug";"black";1999;NA;6.69711;NA;NA;4;4
"drug";"black";1999;7.57892;6.87684;0.15386;NA;4;4
"drug";"black";2000;7.27093;7.25090;0.14864;NA;4;4
"drug";"black";2001;7.55213;7.64530;0.15002;NA;4;4
"drug";"black";2002;8.13343;8.06116;0.15388;NA;4;4
"drug";"black";2003;8.14291;8.49964;0.15297;NA;4;4
"drug";"black";2004;8.19022;8.96197;0.15199;NA;4;4
"drug";"black";2005;9.24271;9.44944;0.15971;NA;4;4
"drug";"black";2006;10.63439;9.96343;0.17005;Joinpoint 1;4;4
"drug";"black";2007;9.55701;9.34830;0.15979;NA;4;4
"drug";"black";2008;8.29461;8.77115;0.14779;NA;4;4
"drug";"black";2009;8.17363;8.22962;0.14542;NA;4;4
"drug";"black";2010;7.89544;7.72153;0.14174;Joinpoint 2;4;4
"drug";"black";2011;8.47227;8.27414;0.14601;NA;4;4
"drug";"black";2012;8.64329;8.86628;0.14658;NA;4;4
"drug";"black";2013;9.49917;9.50081;0.15229;NA;4;4
"drug";"black";2014;10.40864;10.18075;0.15895;Joinpoint 3;4;4
"drug";"black";2015;12.06971;12.79657;0.17032;NA;4;4
"drug";"black";2016;16.95417;16.08450;0.20034;NA;4;4
"drug";"black";2017;20.37424;20.21723;0.21846;Joinpoint 4;4;4
"drug";"black";2018;20.93177;21.97901;0.22007;NA;4;4
"drug";"black";2019;24.39684;23.89431;0.23685;NA;4;4
"drug";"total";1979;3.74359;3.67771;0.04337;NA;5;5
"drug";"total";1980;3.57971;3.64362;0.04227;NA;5;5
"drug";"total";1981;3.56802;3.60986;0.04186;NA;5;5
"drug";"total";1982;3.58639;3.57641;0.04133;NA;5;5
"drug";"total";1983;3.56486;3.54327;0.04105;Joinpoint 1;5;5
