"opioid_type";"race";"Model";"#Obs";"#Param";"DF";"SSE";"MSE";"Auto Corr";"Segment";"Joinpoint";"Joinpoint 95% LCL";"Joinpoint 95% UCL";"Intercept Estimate";"Intercept Std Error";"Intercept Test Statistic";"Intercept P-Value";"Slope Estimate";"Slope Std Error";"Slope Test Statistic";"Slope P-Value";"SlopeChg Estimate";"SlopeChg Std Error";"SlopeChg Test Statistic";"SlopeChg P-Value"
"drug";"black";4;41;10;31;449.361304;14.495526;Uncorrelated;0;NA;NA;NA;-103.468299;9.302140;-11.123064;0.000000;0.052966;0.004663;11.359562;0.000000;NA;NA;NA;NA
"drug";"black";4;41;10;31;449.361304;14.495526;Uncorrelated;1;2006;1981;2008;130.618161;184.975623;0.706137;0.486152;-0.063727;0.092121;-0.691774;0.494985;-0.116693;0.092239;-1.265115;0.216640
"drug";"black";4;41;10;31;449.361304;14.495526;Uncorrelated;2;2010;1996;2011;-136.407287;178.654094;-0.763527;0.451770;0.069121;0.088792;0.778463;0.443065;0.132848;0.127947;1.038311;0.308335
"drug";"black";4;41;10;31;449.361304;14.495526;Uncorrelated;3;2014;2005;2014;-457.756223;280.125560;-1.634111;0.113844;0.228679;0.138980;1.645414;0.111478;0.159558;0.164922;0.967471;0.341895
"drug";"black";4;41;10;31;449.361304;14.495526;Uncorrelated;4;2017;2010;2017;-165.036111;218.118450;-0.756635;0.455820;0.083552;0.108058;0.773222;0.446108;-0.145126;0.176045;-0.824373;0.416951
"drug";"total";5;41;12;29;911.612722;31.434921;Uncorrelated;0;NA;NA;NA;19.726884;59.316554;0.332570;0.742347;-0.009310;0.029950;-0.310851;0.758598;NA;NA;NA;NA
"drug";"total";5;41;12;29;911.612722;31.434921;Uncorrelated;1;1983;1981;2002;-81.682006;5.681205;-14.377585;0.000000;0.041829;0.002851;14.671213;0.000000;0.051139;0.030086;1.699787;0.102097
"drug";"total";5;41;12;29;911.612722;31.434921;Uncorrelated;2;2000;1994;2008;-191.278844;23.578121;-8.112557;0.000000;0.096627;0.011770;8.209457;0.000000;0.054798;0.012111;4.524811;0.000139
"drug";"total";5;41;12;29;911.612722;31.434921;Uncorrelated;3;2006;2002;2011;-43.408803;14.308686;-3.033738;0.005727;0.022914;0.007120;3.218103;0.003676;-0.073714;0.013756;-5.358541;0.000017
"drug";"total";5;41;12;29;911.612722;31.434921;Uncorrelated;4;2013;2011;2014;-234.818691;36.046663;-6.514298;0.000001;0.118000;0.017888;6.596530;0.000001;0.095087;0.019253;4.938744;0.000049
