"opioid_type";"race";"Test #";"Null Hypothesis";"Alt Hypothesis";"Selected Hypothesis";"Numerator DF";"Denominator DF";"# of Permutations";"P-Value";"Significance level"
"drug";"black";0;0;5;5;  10;  26;4500;       0.0002222;       0.0100000
"drug";"black";1;1;5;5;   8;  26;4500;       0.0002222;       0.0125000
"drug";"black";2;2;5;5;   6;  26;4500;       0.0008889;       0.0166667
"drug";"black";3;3;5;5;   4;  26;4500;       0.0093333;       0.0250000
"drug";"black";4;4;5;5;   2;  26;4500;       0.0042222;       0.0500000
"drug";"total";0;0;5;5;  10;  26;4500;       0.0002222;       0.0100000
"drug";"total";1;1;5;5;   8;  26;4500;       0.0002222;       0.0125000
"drug";"total";2;2;5;5;   6;  26;4500;       0.0002222;       0.0166667
"drug";"total";3;3;5;5;   4;  26;4500;       0.0040000;       0.0250000
"drug";"total";4;4;5;4;   2;  26;4500;       0.3673333;       0.0500000
"drug";"white";0;0;5;5;  10;  26;4500;       0.0002222;       0.0100000
"drug";"white";1;1;5;5;   8;  26;4500;       0.0002222;       0.0125000
"drug";"white";2;2;5;5;   6;  26;4500;       0.0002222;       0.0166667
"drug";"white";3;3;5;5;   4;  26;4500;       0.0028889;       0.0250000
"drug";"white";4;4;5;4;   2;  26;4500;       0.0920000;       0.0500000
"nonopioid";"black";0;0;5;5;  10;  26;4500;       0.0002222;       0.0100000
"nonopioid";"black";1;1;5;5;   8;  26;4500;       0.0002222;       0.0125000
"nonopioid";"black";2;2;5;5;   6;  26;4500;       0.0004444;       0.0166667
"nonopioid";"black";3;3;5;5;   4;  26;4500;       0.0048889;       0.0250000
"nonopioid";"black";4;4;5;4;   2;  26;4500;       0.1391111;       0.0500000
"nonopioid";"total";0;0;5;5;  10;  26;4500;       0.0002222;       0.0100000
"nonopioid";"total";1;1;5;5;   8;  26;4500;       0.0002222;       0.0125000
"nonopioid";"total";2;2;5;5;   6;  26;4500;       0.0020000;       0.0166667
"nonopioid";"total";3;3;5;5;   4;  26;4500;       0.0097778;       0.0250000
"nonopioid";"total";4;4;5;4;   2;  26;4500;       0.1251111;       0.0500000
"nonopioid";"white";0;0;5;5;  10;  26;4500;       0.0002222;       0.0100000
"nonopioid";"white";1;1;5;5;   8;  26;4500;       0.0002222;       0.0125000
"nonopioid";"white";2;2;5;2;   6;  26;4500;       0.0182222;       0.0166667
"nonopioid";"white";3;2;4;2;   4;  28;4500;       0.0251111;       0.0166667
"nonopioid";"white";4;2;3;2;   2;  30;4500;       0.0228889;       0.0166667
"opioid";"black";0;0;5;5;  10;  26;4500;       0.0002222;       0.0100000
"opioid";"black";1;1;5;5;   8;  26;4500;       0.0002222;       0.0125000
"opioid";"black";2;2;5;2;   6;  26;4500;       0.1282222;       0.0166667
"opioid";"black";3;2;4;2;   4;  28;4500;       0.1257778;       0.0166667
"opioid";"black";4;2;3;2;   2;  30;4500;       0.0375556;       0.0166667
"opioid";"total";0;0;5;5;  10;  26;4500;       0.0002222;       0.0100000
"opioid";"total";1;1;5;5;   8;  26;4500;       0.0002222;       0.0125000
"opioid";"total";2;2;5;2;   6;  26;4500;       0.0828889;       0.0166667
"opioid";"total";3;2;4;2;   4;  28;4500;       0.1124444;       0.0166667
"opioid";"total";4;2;3;2;   2;  30;4500;       0.4908889;       0.0166667
"opioid";"white";0;0;5;5;  10;  26;4500;       0.0002222;       0.0100000
"opioid";"white";1;1;5;5;   8;  26;4500;       0.0002222;       0.0125000
"opioid";"white";2;2;5;2;   6;  26;4500;       0.0277778;       0.0166667
"opioid";"white";3;2;4;2;   4;  28;4500;       0.0324444;       0.0166667
"opioid";"white";4;2;3;2;   2;  30;4500;       0.0537778;       0.0166667
