"year";"opioid_rr";"Model";"Standard Error";"Flag";"Joinpoints";"Final Selected Model"
1979;0.71075;0.60426;0.06482;NA;3;3
1980;0.55952;0.59977;0.04918;NA;3;3
1981;0.59866;0.59531;0.05179;NA;3;3
1982;0.54236;0.59089;0.04028;NA;3;3
1983;0.63004;0.58650;0.04976;NA;3;3
1984;0.59891;0.58215;0.04377;NA;3;3
1985;0.66477;0.57782;0.04497;NA;3;3
1986;0.65005;0.57353;0.04086;NA;3;3
1987;0.53020;0.56927;0.03416;NA;3;3
1988;0.46851;0.56504;0.02543;NA;3;3
1989;0.48473;0.56084;0.02453;NA;3;3
1990;0.55519;0.55668;0.03041;NA;3;3
1991;0.53755;0.55254;0.02770;NA;3;3
1992;0.60606;0.54844;0.02770;NA;3;3
1993;0.59991;0.54437;0.02347;Joinpoint 1;3;3
1994;0.58490;0.59522;0.02250;NA;3;3
1995;0.60058;0.65082;0.02207;NA;3;3
1996;0.73611;0.71162;0.02837;NA;3;3
1997;0.80487;0.77810;0.02999;NA;3;3
1998;0.91281;0.85079;0.03304;NA;3;3
1999;0.85296;0.93027;0.02727;NA;3;3
2000;0.90141;1.01717;0.02862;NA;3;3
2001;1.06204;1.11220;0.03355;NA;3;3
2002;1.25404;1.21610;0.03756;NA;3;3
2003;1.43065;1.32970;0.04311;NA;3;3
2004;1.67317;1.45392;0.05194;NA;3;3
2005;1.65872;1.58974;0.04917;NA;3;3
2006;1.58862;1.73825;0.04244;NA;3;3
2007;2.00443;1.90064;0.05709;NA;3;3
2008;2.19626;2.07819;0.06305;NA;3;3
2009;2.16056;2.27233;0.06023;NA;3;3
2010;2.39817;2.48461;0.06810;Joinpoint 2;3;3
2011;2.31916;2.32444;0.06231;NA;3;3
2012;2.15858;2.17459;0.05562;NA;3;3
2013;1.99804;2.03440;0.04766;NA;3;3
2014;1.90055;1.90325;0.04150;NA;3;3
2015;1.85933;1.78055;0.03723;Joinpoint 3;3;3
2016;1.48781;1.54232;0.02388;NA;3;3
2017;1.33407;1.33596;0.01929;NA;3;3
2018;1.18122;1.15721;0.01639;NA;3;3
2019;0.99572;1.00238;0.01259;NA;3;3
