"year","race","opioid_type","std_rate","sd"
1979,"black","heroin",0.32564655678095,0.036740593537816
1980,"black","heroin",0.30258148794651,0.0363752525394827
1981,"black","heroin",0.41308272127461,0.0443099550264921
1982,"black","heroin",0.455209793772327,0.0437171076570768
1983,"black","heroin",0.445163280927457,0.0443347424058859
1984,"black","heroin",0.566182022633243,0.0479487153082411
1985,"black","heroin",0.598617448405475,0.0499662759709178
1986,"black","heroin",0.671000983255689,0.0512230635686523
1987,"black","heroin",0.574286154044538,0.0490355298459963
1988,"black","heroin",0.732940812635094,0.0542575973858057
1989,"black","heroin",0.781353875576142,0.0548634140974695
1990,"black","heroin",0.726534048352633,0.0520733719440115
1991,"black","heroin",0.611074552377793,0.0475553133678131
1992,"black","heroin",0.750355510548369,0.0521848885435775
1993,"black","heroin",1.0220944949631,0.0599508852294952
1994,"black","heroin",0.953795298393126,0.0582716319861899
1995,"black","heroin",1.27415175376269,0.0666083477447034
1996,"black","heroin",1.04137702591071,0.0589674877731403
1997,"black","heroin",1.15905788477253,0.0614856031991427
1998,"black","heroin",1.17274018978693,0.0611950585295674
1999,"black","heroin",0.832654002046197,0.050962177361776
2000,"black","heroin",0.884891981651121,0.0515334829080014
2001,"black","heroin",0.755264326204267,0.0472249930449424
2002,"black","heroin",0.911662797844844,0.0514479334033858
2003,"black","heroin",0.769062058237814,0.0466688703896202
2004,"black","heroin",0.620852335950879,0.0416169947800126
2005,"black","heroin",0.779927079631863,0.0463448678714699
2006,"black","heroin",0.729064932284641,0.0442416124393393
2007,"black","heroin",0.76080998017957,0.0450118554745333
2008,"black","heroin",0.774354318122262,0.0446623634109905
2009,"black","heroin",0.884833632544191,0.0474539833779222
2010,"black","heroin",0.749375790303983,0.0433319232499918
2011,"black","heroin",0.965310866396188,0.0488806777213451
2012,"black","heroin",1.29478502022582,0.05642874861424
2013,"black","heroin",2.01552869594499,0.0695944170853806
2014,"black","heroin",2.50894780721165,0.0776449476141224
2015,"black","heroin",3.11524458921737,0.0861601199518026
2016,"black","heroin",4.49060400735969,0.10290395246004
2017,"black","heroin",0.0001,0.001
1979,"total","heroin",0.15427534391519,0.00822608600309306
1980,"total","heroin",0.145092516529015,0.0080677210217152
1981,"total","heroin",0.181044606078043,0.00906274688550613
1982,"total","heroin",0.240704922247398,0.0101565987515378
1983,"total","heroin",0.221203686721128,0.00982394373884294
1984,"total","heroin",0.268199672915741,0.0106753778311649
1985,"total","heroin",0.376201791658124,0.0126288476228331
1986,"total","heroin",0.410355386169624,0.0130673184600395
1987,"total","heroin",0.26406241616566,0.0105302323483722
1988,"total","heroin",0.352308025361781,0.0121352506775897
1989,"total","heroin",0.412435675316355,0.0130472229693015
1990,"total","heroin",0.398572990138034,0.0127298893188501
1991,"total","heroin",0.365491456954907,0.0120678092184263
1992,"total","heroin",0.534151086868022,0.014573122362824
1993,"total","heroin",0.712671043025794,0.016722433380597
1994,"total","heroin",0.69843763562001,0.0164720036872484
1995,"total","heroin",0.856013893877262,0.0181121498595953
1996,"total","heroin",0.841459230304256,0.0178285099562408
1997,"total","heroin",0.950057562449831,0.0188390348122503
