"opioid_type";"race";"Model";"Segment";"Segment Start";"Segment End";"APC";"APC 95% LCL";"APC 95% UCL";"APC Significant";"Test Statistic";"P-Value"
"heroin";"black";2;0;1979;1995;7.54531;5.31640;9.82139;1;7.08389;0.00000
"heroin";"black";2;1;1995;2010;0.06449;-1.63583;1.79421;0;0.07672;0.93934
"heroin";"black";2;2;2010;2017;31.19642;27.48203;35.01904;1;19.28189;0.00000
"heroin";"total";4;0;1979;1999;10.56408;9.33979;11.80208;1;18.57490;0.00000
"heroin";"total";4;1;1999;2005;-0.23438;-6.56817;6.52878;0;-0.07368;0.94185
"heroin";"total";4;2;2005;2010;10.55359;2.14852;19.65025;1;2.61322;0.01497
"heroin";"total";4;3;2010;2015;31.44509;25.08536;38.12817;1;11.35481;0.00000
"heroin";"total";4;4;2015;2017;6.64331;-3.86186;18.29641;0;1.27738;0.21321
"heroin";"white";4;0;1979;1998;11.49535;9.98880;13.02253;1;16.47303;0.00000
"heroin";"white";4;1;1998;2005;0.60628;-4.50963;5.99627;0;0.23853;0.81341
"heroin";"white";4;2;2005;2010;12.16054;3.13417;21.97691;1;2.81709;0.00933
"heroin";"white";4;3;2010;2015;31.53418;24.87121;38.55267;1;10.85938;0.00000
"heroin";"white";4;4;2015;2017;4.86795;-6.16220;17.19464;0;0.88086;0.38678
"methadone";"black";5;0;1979;1987;1.98151;-8.92132;14.18951;0;0.35989;0.72236
"methadone";"black";5;1;1987;1998;-12.56146;-20.46099;-3.87738;1;-2.94000;0.00758
"methadone";"black";5;2;1998;2006;23.62749;19.09946;28.32767;1;11.78845;0.00000
"methadone";"black";5;3;2006;2009;-9.47069;-25.05965;9.36106;0;-1.09187;0.28670
"methadone";"black";5;4;2009;2015;-1.82113;-6.07202;2.62214;0;-0.86113;0.39845
"methadone";"black";5;5;2015;2017;14.31118;-4.35164;36.61547;0;1.55622;0.13393
"methadone";"total";5;0;1979;1988;-1.60178;-6.30300;3.33533;0;-0.68403;0.50110
"methadone";"total";5;1;1988;1998;-9.80950;-15.30821;-3.95377;1;-3.40382;0.00255
"methadone";"total";5;2;1998;2003;40.80326;34.53062;47.36837;1;15.57249;0.00000
"methadone";"total";5;3;2003;2006;20.85821;11.46635;31.04140;1;4.85678;0.00007
"methadone";"total";5;4;2006;2015;-6.41752;-7.23287;-5.59500;1;-15.71898;0.00000
"methadone";"total";5;5;2015;2017;-2.23841;-10.89740;7.26205;0;-0.50623;0.61773
"methadone";"white";3;0;1979;1998;-5.39349;-7.35133;-3.39427;1;-5.43100;0.00001
"methadone";"white";3;1;1998;2003;42.85362;35.88106;50.18397;1;14.59946;0.00000
"methadone";"white";3;2;2003;2006;20.94119;10.72490;32.10011;1;4.41300;0.00014
"methadone";"white";3;3;2006;2017;-6.10248;-6.67805;-5.52335;1;-20.97706;0.00000
"nonh_nonm";"black";2;0;1979;1994;14.59426;10.26988;19.08822;1;7.22277;0.00000
"nonh_nonm";"black";2;1;1994;2013;-1.02697;-2.32377;0.28704;0;-1.59628;0.12057
"nonh_nonm";"black";2;2;2013;2017;47.88725;37.53923;59.01382;1;11.00096;0.00000
"nonh_nonm";"total";4;0;1979;1990;8.29771;2.90177;13.97661;1;3.21221;0.00361
"nonh_nonm";"total";4;1;1990;1993;22.25703;-26.68044;103.85804;0;0.80946;0.42589
"nonh_nonm";"total";4;2;1993;2009;7.86062;6.61011;9.12579;1;13.36408;0.00000
"nonh_nonm";"total";4;3;2009;2014;3.06227;-2.37392;8.80116;0;1.14641;0.26248
"nonh_nonm";"total";4;4;2014;2017;32.29392;24.24943;40.85924;1;9.18743;0.00000
"nonh_nonm";"white";4;0;1979;1990;7.55522;2.06051;13.34576;1;2.86058;0.00842
"nonh_nonm";"white";4;1;1990;1993;23.03694;-27.84455;109.79826;0;0.80008;0.43120
"nonh_nonm";"white";4;2;1993;2009;9.25458;7.97667;10.54762;1;15.49351;0.00000
"nonh_nonm";"white";4;3;2009;2014;3.06147;-2.24607;8.65719;0;1.17465;0.25120
"nonh_nonm";"white";4;4;2014;2017;31.09754;23.17465;39.53006;1;8.94576;0.00000
