"opioid_type";"race";"year";"std_rate";"Model";"Standard Error";"Flag";"Joinpoints";"Final Selected Model"
"heroin";"black";1979;0.32565;0.34782;0.03674;NA;3;3
"heroin";"black";1980;0.30258;0.37434;0.03638;NA;3;3
"heroin";"black";1981;0.41308;0.40289;0.04431;NA;3;3
"heroin";"black";1982;0.45521;0.43361;0.04372;NA;3;3
"heroin";"black";1983;0.44516;0.46667;0.04433;NA;3;3
"heroin";"black";1984;0.56618;0.50225;0.04795;NA;3;3
"heroin";"black";1985;0.59862;0.54055;0.04997;NA;3;3
"heroin";"black";1986;0.67100;0.58176;0.05122;NA;3;3
"heroin";"black";1987;0.57429;0.62612;0.04904;NA;3;3
"heroin";"black";1988;0.73294;0.67386;0.05426;NA;3;3
"heroin";"black";1989;0.78135;0.72524;0.05486;NA;3;3
"heroin";"black";1990;0.72653;0.78054;0.05207;NA;3;3
"heroin";"black";1991;0.61107;0.84005;0.04756;NA;3;3
"heroin";"black";1992;0.75036;0.90410;0.05218;NA;3;3
"heroin";"black";1993;1.02209;0.97304;0.05995;NA;3;3
"heroin";"black";1994;0.95380;1.04723;0.05827;NA;3;3
"heroin";"black";1995;1.27415;1.12708;0.06661;Joinpoint 1;3;3
"heroin";"black";1996;1.04138;1.11977;0.05897;NA;3;3
"heroin";"black";1997;1.15906;1.11252;0.06149;NA;3;3
"heroin";"black";1998;1.17274;1.10532;0.06120;NA;3;3
"heroin";"black";1999;NA;1.10173;NA;NA;3;3
"heroin";"black";1999;NA;0.81854;NA;NA;3;3
"heroin";"black";1999;0.83265;0.81589;0.05096;NA;3;3
"heroin";"black";2000;0.88489;0.81060;0.05153;NA;3;3
"heroin";"black";2001;0.75526;0.80535;0.04722;NA;3;3
"heroin";"black";2002;0.91166;0.80013;0.05145;NA;3;3
"heroin";"black";2003;0.76906;0.79495;0.04667;NA;3;3
"heroin";"black";2004;0.62085;0.78980;0.04162;NA;3;3
"heroin";"black";2005;0.77993;0.78469;0.04634;NA;3;3
"heroin";"black";2006;0.72906;0.77960;0.04424;NA;3;3
"heroin";"black";2007;0.76081;0.77455;0.04501;NA;3;3
"heroin";"black";2008;0.77435;0.76954;0.04466;NA;3;3
"heroin";"black";2009;0.88483;0.76455;0.04745;NA;3;3
"heroin";"black";2010;0.74938;0.75960;0.04333;Joinpoint 2;3;3
"heroin";"black";2011;0.96561;1.02213;0.04890;NA;3;3
"heroin";"black";2012;1.29535;1.37539;0.05645;NA;3;3
"heroin";"black";2013;2.01624;1.85075;0.06962;NA;3;3
"heroin";"black";2014;2.50951;2.49039;0.07766;NA;3;3
"heroin";"black";2015;3.11517;3.35111;0.08615;NA;3;3
"heroin";"black";2016;4.48878;4.50930;0.10285;Joinpoint 3;3;3
"heroin";"black";2017;4.90313;4.69515;0.10654;NA;3;3
"heroin";"black";2018;4.88873;4.88867;0.10591;NA;3;3
"heroin";"black";2019;5.01978;5.09016;0.10704;NA;3;3
"heroin";"total";1979;0.15428;0.15645;0.00823;NA;5;5
"heroin";"total";1980;0.14509;0.17298;0.00807;NA;5;5
"heroin";"total";1981;0.18104;0.19125;0.00906;NA;5;5
"heroin";"total";1982;0.24070;0.21146;0.01016;NA;5;5
"heroin";"total";1983;0.22120;0.23380;0.00982;NA;5;5
"heroin";"total";1984;0.26820;0.25849;0.01068;NA;5;5
"heroin";"total";1985;0.37620;0.28580;0.01263;NA;5;5
"heroin";"total";1986;0.41036;0.31599;0.01307;NA;5;5
"heroin";"total";1987;0.26406;0.34938;0.01053;NA;5;5
"heroin";"total";1988;0.35231;0.38628;0.01214;NA;5;5
"heroin";"total";1989;0.41244;0.42709;0.01305;NA;5;5
"heroin";"total";1990;0.39857;0.47221;0.01273;NA;5;5
"heroin";"total";1991;0.36549;0.52209;0.01207;NA;5;5
"heroin";"total";1992;0.53415;0.57725;0.01457;NA;5;5
"heroin";"total";1993;0.71267;0.63823;0.01672;NA;5;5
"heroin";"total";1994;0.69844;0.70565;0.01647;NA;5;5
"heroin";"total";1995;0.85601;0.78020;0.01811;NA;5;5
