"opioid_type";"race";"Model";"#Obs";"#Param";"DF";"SSE";"MSE";"Auto Corr";"Segment";"Joinpoint";"Joinpoint 95% LCL";"Joinpoint 95% UCL";"Intercept Estimate";"Intercept Std Error";"Intercept Test Statistic";"Intercept P-Value";"Slope Estimate";"Slope Std Error";"Slope Test Statistic";"Slope P-Value";"SlopeChg Estimate";"SlopeChg Std Error";"SlopeChg Test Statistic";"SlopeChg P-Value"
"heroin";"black";3;41;8;33;102.984963;3.120756;Uncorrelated;0;NA;NA;NA;-146.473495;18.348727;-7.982760;0.000000;0.073480;0.009229;7.962026;0.000000;NA;NA;NA;NA
"heroin";"black";3;41;8;33;102.984963;3.120756;Uncorrelated;1;1995;1993;2003;13.084032;15.122426;0.865207;0.393791;-0.006498;0.007552;-0.860468;0.396356;-0.079979;0.011925;-6.706763;0.000000
"heroin";"black";3;41;8;33;102.984963;3.120756;Uncorrelated;2;2010;2009;2011;-596.648102;48.827612;-12.219482;0.000000;0.296851;0.024249;12.241659;0.000000;0.303349;0.025398;11.943798;0.000000
"heroin";"black";3;41;8;33;102.984963;3.120756;Uncorrelated;3;2016;2015;2017;-79.620748;62.374437;-1.276496;0.211574;0.040389;0.030909;1.306710;0.201240;-0.256462;0.039286;-6.528092;0.000000
"heroin";"total";5;41;12;29;591.666182;20.402282;Uncorrelated;0;NA;NA;NA;-200.596241;10.917854;-18.373229;0.000000;0.100425;0.005481;18.322460;0.000000;NA;NA;NA;NA
"heroin";"total";5;41;12;29;591.666182;20.402282;Uncorrelated;1;1999;1981;2004;0.163085;64.638697;0.002523;0.998008;-0.000005;0.032286;-0.000149;0.999883;-0.100430;0.032748;-3.066713;0.005293
"heroin";"total";5;41;12;29;591.666182;20.402282;Uncorrelated;2;2005;1987;2008;-183.632760;78.144024;-2.349927;0.027336;0.091664;0.038922;2.355049;0.027034;0.091669;0.050570;1.812697;0.082407
"heroin";"total";5;41;12;29;591.666182;20.402282;Uncorrelated;3;2010;1993;2011;-609.085148;178.676518;-3.408871;0.002307;0.303332;0.088824;3.414966;0.002272;0.211668;0.096978;2.182642;0.039079
"heroin";"total";5;41;12;29;591.666182;20.402282;Uncorrelated;4;2013;2008;2014;-421.737844;118.191873;-3.568247;0.001556;0.210263;0.058669;3.583882;0.001496;-0.093069;0.106451;-0.874287;0.390627
"heroin";"total";5;41;12;29;591.666182;20.402282;Uncorrelated;5;2016;2014;2017;88.864801;52.902153;1.679796;0.105970;-0.043012;0.026216;-1.640704;0.113901;-0.253275;0.064260;-3.941425;0.000611
"heroin";"white";5;41;12;29;578.434625;19.946022;Uncorrelated;0;NA;NA;NA;-217.336591;13.418397;-16.196912;0.000000;0.108813;0.006739;16.147276;0.000000;NA;NA;NA;NA
"heroin";"white";5;41;12;29;578.434625;19.946022;Uncorrelated;1;1998;1981;2004;-17.157198;51.742771;-0.331586;0.743080;0.008623;0.025851;0.333551;0.741615;-0.100190;0.026715;-3.750273;0.000988
"heroin";"white";5;41;12;29;578.434625;19.946022;Uncorrelated;2;2005;1987;2008;-211.146534;83.438871;-2.530554;0.018359;0.105376;0.041559;2.535544;0.018155;0.096753;0.048944;1.976821;0.059661
"heroin";"white";5;41;12;29;578.434625;19.946022;Uncorrelated;3;2010;1992;2011;-616.202995;187.990672;-3.277838;0.003179;0.306896;0.093454;3.283911;0.003132;0.201521;0.102279;1.970310;0.060445
"heroin";"white";5;41;12;29;578.434625;19.946022;Uncorrelated;4;2013;2006;2014;-408.277855;125.170906;-3.261763;0.003306;0.203605;0.062133;3.276899;0.003186;-0.103291;0.112224;-0.920399;0.366524
"heroin";"white";5;41;12;29;578.434625;19.946022;Uncorrelated;5;2016;2014;2017;115.400190;57.737918;1.998690;0.057091;-0.056156;0.028612;-1.962665;0.061378;-0.259761;0.068405;-3.797408;0.000878
"methadone";"black";4;41;10;31;39.671008;1.279710;Uncorrelated;0;NA;NA;NA;-41.845689;115.922875;-0.360979;0.720925;0.019621;0.058474;0.335559;0.739797;NA;NA;NA;NA
"methadone";"black";4;41;10;31;39.671008;1.279710;Uncorrelated;1;1987;1981;2001;263.865104;91.552081;2.882131;0.007655;-0.134234;0.045960;-2.920641;0.006973;-0.153855;0.074374;-2.068665;0.048277
"methadone";"black";4;41;10;31;39.671008;1.279710;Uncorrelated;2;1999;1992;2007;-409.668022;46.921262;-8.730968;0.000000;0.202701;0.023423;8.653861;0.000000;0.336935;0.051585;6.531649;0.000001
"methadone";"black";4;41;10;31;39.671008;1.279710;Uncorrelated;3;2006;2004;2014;113.929462;33.530300;3.397806;0.002122;-0.058315;0.016687;-3.494689;0.001656;-0.261016;0.028759;-9.075909;0.000000
"methadone";"black";4;41;10;31;39.671008;1.279710;Uncorrelated;4;2013;2008;2017;-118.614572;32.383379;-3.662823;0.001072;0.057206;0.016058;3.562596;0.001390;0.115521;0.023158;4.988411;0.000031
"methadone";"total";4;41;10;31;125.492444;4.048143;Uncorrelated;0;NA;NA;NA;28.920578;46.851619;0.617280;0.542221;-0.016147;0.023627;-0.683430;0.500158;NA;NA;NA;NA
"methadone";"total";4;41;10;31;125.492444;4.048143;Uncorrelated;1;1988;1981;2000;202.072596;51.693065;3.909085;0.000563;-0.103246;0.025939;-3.980326;0.000466;-0.087099;0.035087;-2.482385;0.019563
"methadone";"total";4;41;10;31;125.492444;4.048143;Uncorrelated;2;1999;1995;2004;-691.288283;65.184012;-10.605182;0.000000;0.343658;0.032571;10.551015;0.000000;0.446904;0.041638;10.733115;0.000000
"methadone";"total";4;41;10;31;125.492444;4.048143;Uncorrelated;3;2003;2001;2007;-371.005871;78.259274;-4.740727;0.000061;0.183756;0.039041;4.706747;0.000067;-0.159901;0.050844;-3.144960;0.004015
"methadone";"total";4;41;10;31;125.492444;4.048143;Uncorrelated;4;2006;2005;2017;120.600127;4.320706;27.912137;0.000000;-0.061311;0.002147;-28.553213;0.000000;-0.245068;0.039100;-6.267705;0.000001
"methadone";"white";3;41;8;33;128.560419;3.895770;Uncorrelated;0;NA;NA;NA;106.845109;17.201480;6.211391;0.000001;-0.055444;0.008656;-6.404946;0.000000;NA;NA;NA;NA
"methadone";"white";3;41;8;33;128.560419;3.895770;Uncorrelated;1;1999;1996;2000;-716.862948;65.483328;-10.947259;0.000000;0.356616;0.032721;10.898832;0.000000;0.412060;0.033846;12.174458;0.000000
"methadone";"white";3;41;8;33;128.560419;3.895770;Uncorrelated;2;2003;2001;2004;-383.665283;78.463214;-4.889747;0.000032;0.190267;0.039143;4.860834;0.000035;-0.166349;0.051018;-3.260624;0.002769
"methadone";"white";3;41;8;33;128.560419;3.895770;Uncorrelated;3;2006;2005;2007;124.275543;4.413675;28.156931;0.000000;-0.062944;0.002194;-28.694775;0.000000;-0.253211;0.039204;-6.458757;0.000000
"nonh_nonm";"black";3;41;8;33;271.885214;8.238946;Uncorrelated;0;NA;NA;NA;-270.952062;37.678379;-7.191182;0.000000;0.136170;0.018946;7.187311;0.000000;NA;NA;NA;NA
"nonh_nonm";"black";3;41;8;33;271.885214;8.238946;Uncorrelated;1;1994;1991;1996;20.490222;13.020398;1.573702;0.126045;-0.009990;0.006496;-1.537823;0.134574;-0.146160;0.020029;-7.297550;0.000000
"nonh_nonm";"black";3;41;8;33;271.885214;8.238946;Uncorrelated;2;2013;2012;2014;-780.458074;122.427655;-6.374851;0.000000;0.387898;0.060749;6.385285;0.000000;0.397888;0.061095;6.512599;0.000000
"nonh_nonm";"black";3;41;8;33;271.885214;8.238946;Uncorrelated;3;2017;2015;2017;-369.164168;142.211540;-2.595881;0.014468;0.183985;0.070452;2.611486;0.013943;-0.203914;0.093026;-2.191999;0.036277
"nonh_nonm";"total";5;41;12;29;601.698503;20.748224;Uncorrelated;0;NA;NA;NA;-159.275202;47.860250;-3.327923;0.002813;0.079707;0.024111;3.305830;0.002969;NA;NA;NA;NA
"nonh_nonm";"total";5;41;12;29;601.698503;20.748224;Uncorrelated;1;1990;1981;2003;-400.788169;480.380245;-0.834314;0.412332;0.201070;0.241207;0.833601;0.412726;0.121363;0.242409;0.500656;0.621174
