"opioid_type";"race";"Test #";"Null Hypothesis";"Alt Hypothesis";"Selected Hypothesis";"Numerator DF";"Denominator DF";"# of Permutations";"P-Value";"Significance level"
"heroin";"black";0;0;5;5;  10;  27;10000;       0.0001000;       0.0100000
"heroin";"black";1;1;5;5;   8;  27;10000;       0.0001000;       0.0125000
"heroin";"black";2;2;5;2;   6;  27;10000;       0.1391000;       0.0166667
"heroin";"black";3;2;4;2;   4;  29;10000;       0.3487000;       0.0166667
"heroin";"black";4;2;3;2;   2;  31;10000;       0.2254000;       0.0166667
"heroin";"total";0;0;5;5;  10;  27;10000;       0.0001000;       0.0100000
"heroin";"total";1;1;5;5;   8;  27;10000;       0.0001000;       0.0125000
"heroin";"total";2;2;5;5;   6;  27;10000;       0.0001000;       0.0166667
"heroin";"total";3;3;5;5;   4;  27;10000;       0.0144000;       0.0250000
"heroin";"total";4;4;5;4;   2;  27;10000;       0.4936000;       0.0500000
"heroin";"white";0;0;5;5;  10;  27;10000;       0.0001000;       0.0100000
"heroin";"white";1;1;5;5;   8;  27;10000;       0.0001000;       0.0125000
"heroin";"white";2;2;5;5;   6;  27;10000;       0.0001000;       0.0166667
"heroin";"white";3;3;5;5;   4;  27;10000;       0.0095000;       0.0250000
"heroin";"white";4;4;5;4;   2;  27;10000;       0.4078000;       0.0500000
"methadone";"black";0;0;5;5;  10;  27;10000;       0.0001000;       0.0100000
"methadone";"black";1;1;5;5;   8;  27;10000;       0.0001000;       0.0125000
"methadone";"black";2;2;5;5;   6;  27;10000;       0.0001000;       0.0166667
"methadone";"black";3;3;5;5;   4;  27;10000;       0.0030000;       0.0250000
"methadone";"black";4;4;5;5;   2;  27;10000;       0.0088000;       0.0500000
"methadone";"total";0;0;5;5;  10;  27;10000;       0.0001000;       0.0100000
"methadone";"total";1;1;5;5;   8;  27;10000;       0.0001000;       0.0125000
"methadone";"total";2;2;5;5;   6;  27;10000;       0.0001000;       0.0166667
"methadone";"total";3;3;5;5;   4;  27;10000;       0.0088000;       0.0250000
"methadone";"total";4;4;5;5;   2;  27;10000;       0.0320000;       0.0500000
"methadone";"white";0;0;5;5;  10;  27;10000;       0.0001000;       0.0100000
"methadone";"white";1;1;5;5;   8;  27;10000;       0.0001000;       0.0125000
"methadone";"white";2;2;5;5;   6;  27;10000;       0.0001000;       0.0166667
"methadone";"white";3;3;5;3;   4;  27;10000;       0.0268000;       0.0250000
"methadone";"white";4;3;4;3;   2;  29;10000;       0.0474000;       0.0250000
"nonh_nonm";"black";0;0;5;5;  10;  27;10000;       0.0001000;       0.0100000
"nonh_nonm";"black";1;1;5;5;   8;  27;10000;       0.0001000;       0.0125000
"nonh_nonm";"black";2;2;5;2;   6;  27;10000;       0.5669000;       0.0166667
"nonh_nonm";"black";3;2;4;2;   4;  29;10000;       0.5659000;       0.0166667
"nonh_nonm";"black";4;2;3;2;   2;  31;10000;       0.3892000;       0.0166667
"nonh_nonm";"total";0;0;5;5;  10;  27;10000;       0.0001000;       0.0100000
"nonh_nonm";"total";1;1;5;5;   8;  27;10000;       0.0001000;       0.0125000
"nonh_nonm";"total";2;2;5;5;   6;  27;10000;       0.0044000;       0.0166667
"nonh_nonm";"total";3;3;5;5;   4;  27;10000;       0.0107000;       0.0250000
"nonh_nonm";"total";4;4;5;4;   2;  27;10000;       0.5359000;       0.0500000
"nonh_nonm";"white";0;0;5;5;  10;  27;10000;       0.0001000;       0.0100000
"nonh_nonm";"white";1;1;5;5;   8;  27;10000;       0.0001000;       0.0125000
"nonh_nonm";"white";2;2;5;5;   6;  27;10000;       0.0152000;       0.0166667
"nonh_nonm";"white";3;3;5;5;   4;  27;10000;       0.0121000;       0.0250000
"nonh_nonm";"white";4;4;5;4;   2;  27;10000;       0.7644000;       0.0500000
