"opioid_type";"race";"Model";"Segment";"Segment Start";"Segment End";"APC";"APC 95% LCL";"APC 95% UCL";"APC Significant";"Test Statistic";"P-Value"
"drug";"black";3;0;1999;2006;4.948;3.007;6.926;1;6.117;0.000
"drug";"black";3;1;2006;2010;-5.690;-11.490;0.490;0;-2.183;0.065
"drug";"black";3;2;2010;2014;6.575;0.251;13.298;1;2.461;0.043
"drug";"black";3;3;2014;2016;28.542;16.803;41.460;1;6.200;0.000
"drug";"total";2;0;1999;2006;9.574;7.897;11.277;1;13.208;0.000
"drug";"total";2;1;2006;2014;2.902;1.710;4.108;1;5.469;0.000
"drug";"total";2;2;2014;2016;17.574;9.314;26.457;1;4.952;0.001
"drug";"white";2;0;1999;2006;10.856;9.102;12.638;1;14.398;0.000
"drug";"white";2;1;2006;2014;3.443;2.225;4.675;1;6.366;0.000
"drug";"white";2;2;2014;2016;16.370;7.987;25.404;1;4.518;0.001
"heroin";"black";1;0;1999;2010;-0.671;-2.876;1.585;0;-0.647;0.529
"heroin";"black";1;1;2010;2016;34.119;29.704;38.684;1;18.948;0.000
"heroin";"total";3;0;1999;2005;-0.096;-3.780;3.730;0;-0.060;0.954
"heroin";"total";3;1;2005;2010;9.986;3.494;16.886;1;3.699;0.008
"heroin";"total";3;2;2010;2014;33.173;24.901;41.992;1;10.564;0.000
"heroin";"total";3;3;2014;2016;19.639;10.062;30.048;1;5.082;0.001
"heroin";"white";3;0;1999;2005;0.765;-3.198;4.889;0;0.449;0.667
"heroin";"white";3;1;2005;2010;11.521;4.555;18.950;1;3.998;0.005
"heroin";"white";3;2;2010;2014;33.471;24.796;42.750;1;10.158;0.000
"heroin";"white";3;3;2014;2016;18.424;8.414;29.359;1;4.527;0.003
"methadone";"black";2;0;1999;2006;23.745;18.357;29.379;1;10.662;0.000
"methadone";"black";2;1;2006;2009;-10.324;-28.427;12.359;0;-1.077;0.307
"methadone";"black";2;2;2009;2016;-0.443;-3.456;2.663;0;-0.322;0.754
"methadone";"total";2;0;1999;2003;40.896;30.876;51.683;1;10.355;0.000
"methadone";"total";2;1;2003;2006;20.550;5.753;37.416;1;3.180;0.010
"methadone";"total";2;2;2006;2016;-6.192;-7.153;-5.220;1;-13.825;0.000
"methadone";"white";2;0;1999;2003;42.818;33.145;53.194;1;11.323;0.000
"methadone";"white";2;1;2003;2006;21.057;6.972;36.997;1;3.442;0.006
"methadone";"white";2;2;2006;2016;-6.174;-7.091;-5.248;1;-14.459;0.000
