"opioid_type";"race";"year";"std_rate";"Model";"Standard Error";"Flag";"Joinpoints";"Final Selected Model"
"drug";"black";1999;7.57892;7.10645;0.15386;NA;2;2
"drug";"black";2000;7.27093;7.41108;0.14864;NA;2;2
"drug";"black";2001;7.55213;7.72876;0.15002;NA;2;2
"drug";"black";2002;8.13343;8.06005;0.15388;NA;2;2
"drug";"black";2003;8.14291;8.40555;0.15297;NA;2;2
"drug";"black";2004;8.19022;8.76586;0.15199;NA;2;2
"drug";"black";2005;9.24271;9.14162;0.15971;NA;2;2
"drug";"black";2006;10.63439;9.53348;0.17005;Joinpoint 1;2;2
"drug";"black";2007;9.55701;9.26686;0.15979;NA;2;2
"drug";"black";2008;8.29461;9.00771;0.14779;NA;2;2
"drug";"black";2009;8.17363;8.75579;0.14542;NA;2;2
"drug";"black";2010;7.89544;8.51093;0.14174;NA;2;2
"drug";"black";2011;8.47227;8.27291;0.14601;NA;2;2
"drug";"black";2012;8.64329;8.04155;0.14658;Joinpoint 2;2;2
"drug";"black";2013;9.49917;9.48336;0.15229;NA;2;2
"drug";"black";2014;10.40864;11.18367;0.15895;NA;2;2
"drug";"black";2015;12.06971;13.18884;0.17032;NA;2;2
"drug";"black";2016;16.95417;15.55353;0.20034;NA;2;2
"drug";"black";2017;20.37424;18.34220;0.21846;NA;2;2
"drug";"black";2018;20.93177;21.63085;0.22007;NA;2;2
"drug";"black";2019;24.39684;25.50915;0.23685;NA;2;2
"drug";"total";1999;6.15254;5.90662;0.04749;NA;3;3
"drug";"total";2000;6.16258;6.48472;0.04676;NA;3;3
"drug";"total";2001;6.78975;7.11940;0.04881;NA;3;3
"drug";"total";2002;8.15807;7.81621;0.05328;NA;3;3
"drug";"total";2003;8.86639;8.58121;0.05534;NA;3;3
"drug";"total";2004;9.33529;9.42108;0.05655;NA;3;3
"drug";"total";2005;10.02347;10.34315;0.05832;NA;3;3
"drug";"total";2006;11.44337;11.35547;0.06206;Joinpoint 1;3;3
"drug";"total";2007;11.85123;11.62681;0.06291;NA;3;3
"drug";"total";2008;11.88161;11.90463;0.06282;NA;3;3
"drug";"total";2009;11.94863;12.18909;0.06282;NA;3;3
"drug";"total";2010;12.26744;12.48035;0.06350;NA;3;3
"drug";"total";2011;13.15767;12.77857;0.06570;NA;3;3
"drug";"total";2012;13.10655;13.08391;0.06542;NA;3;3
"drug";"total";2013;13.74584;13.39655;0.06678;Joinpoint 2;3;3
"drug";"total";2014;14.66622;15.06924;0.06897;NA;3;3
"drug";"total";2015;16.29631;16.95077;0.07269;NA;3;3
"drug";"total";2016;19.72906;19.06724;0.07990;NA;3;3
"drug";"total";2017;21.69708;21.44796;0.08369;Joinpoint 3;3;3
"drug";"total";2018;20.68034;21.36019;0.08153;NA;3;3
"drug";"total";2019;21.60381;21.27278;0.08322;NA;3;3
"drug";"white";1999;6.20900;6.07519;0.05242;NA;3;3
"drug";"white";2000;6.37375;6.73012;0.05264;NA;3;3
"drug";"white";2001;7.11267;7.45565;0.05544;NA;3;3
"drug";"white";2002;8.69492;8.25939;0.06118;NA;3;3
"drug";"white";2003;9.57937;9.14979;0.06413;NA;3;3
"drug";"white";2004;10.16148;10.13617;0.06594;NA;3;3
"drug";"white";2005;10.87467;11.22888;0.06805;NA;3;3
"drug";"white";2006;12.45768;12.43940;0.07273;Joinpoint 1;3;3
"drug";"white";2007;13.17455;12.88790;0.07469;NA;3;3
"drug";"white";2008;13.43418;13.35258;0.07537;NA;3;3
"drug";"white";2009;13.53164;13.83400;0.07559;NA;3;3
"drug";"white";2010;14.05542;14.33279;0.07707;NA;3;3
"drug";"white";2011;15.08507;14.84956;0.07993;NA;3;3
"drug";"white";2012;15.02844;15.38496;0.07975;NA;3;3
"drug";"white";2013;15.74711;15.93967;0.08154;NA;3;3
"drug";"white";2014;16.79464;16.51437;0.08438;Joinpoint 2;3;3
"drug";"white";2015;18.67541;18.82970;0.08922;NA;3;3
"drug";"white";2016;22.35232;21.46965;0.09784;NA;3;3
"drug";"white";2017;24.34393;24.47972;0.10219;Joinpoint 3;3;3
"drug";"white";2018;22.92302;23.76664;0.09914;NA;3;3
"drug";"white";2019;23.48516;23.07433;0.10037;NA;3;3
"heroin";"black";1999;0.83265;0.82244;0.05096;NA;2;2
"heroin";"black";2000;0.88489;0.81613;0.05153;NA;2;2
"heroin";"black";2001;0.75526;0.80986;0.04722;NA;2;2
"heroin";"black";2002;0.91166;0.80363;0.05145;NA;2;2
"heroin";"black";2003;0.76906;0.79746;0.04667;NA;2;2
"heroin";"black";2004;0.62085;0.79133;0.04162;NA;2;2
"heroin";"black";2005;0.77993;0.78525;0.04634;NA;2;2
"heroin";"black";2006;0.72906;0.77922;0.04424;NA;2;2
"heroin";"black";2007;0.76081;0.77323;0.04501;NA;2;2
"heroin";"black";2008;0.77435;0.76729;0.04466;NA;2;2
"heroin";"black";2009;0.88483;0.76139;0.04745;NA;2;2
"heroin";"black";2010;0.74938;0.75554;0.04333;Joinpoint 1;2;2
"heroin";"black";2011;0.96561;1.01774;0.04890;NA;2;2
"heroin";"black";2012;1.29535;1.37093;0.05645;NA;2;2
"heroin";"black";2013;2.01624;1.84668;0.06962;NA;2;2
"heroin";"black";2014;2.50951;2.48753;0.07766;NA;2;2
"heroin";"black";2015;3.11517;3.35078;0.08615;NA;2;2
"heroin";"black";2016;4.48878;4.51359;0.10285;Joinpoint 2;2;2
"heroin";"black";2017;4.90313;4.69772;0.10654;NA;2;2
"heroin";"black";2018;4.88873;4.88935;0.10591;NA;2;2
"heroin";"black";2019;5.01978;5.08880;0.10704;NA;2;2
"heroin";"total";1999;0.71624;0.68804;0.01619;NA;3;3
"heroin";"total";2000;0.65010;0.68404;0.01516;NA;3;3
"heroin";"total";2001;0.62163;0.68007;0.01475;NA;3;3
"heroin";"total";2002;0.72654;0.67612;0.01591;NA;3;3
"heroin";"total";2003;0.71679;0.67219;0.01574;NA;3;3
"heroin";"total";2004;0.63967;0.66829;0.01480;NA;3;3
"heroin";"total";2005;0.67773;0.66441;0.01518;Joinpoint 1;3;3
"heroin";"total";2006;0.69637;0.74404;0.01533;NA;3;3
"heroin";"total";2007;0.79647;0.83323;0.01636;NA;3;3
"heroin";"total";2008;1.00559;0.93310;0.01837;NA;3;3
"heroin";"total";2009;1.07349;1.04494;0.01891;NA;3;3
"heroin";"total";2010;0.99225;1.17019;0.01819;Joinpoint 2;3;3
"heroin";"total";2011;1.42226;1.50043;0.02169;NA;3;3
"heroin";"total";2012;1.91626;1.92388;0.02520;NA;3;3
"heroin";"total";2013;2.64848;2.46684;0.02955;NA;3;3
"heroin";"total";2014;3.38708;3.16302;0.03344;NA;3;3
"heroin";"total";2015;4.14273;4.05568;0.03694;NA;3;3
"heroin";"total";2016;4.89981;5.20027;0.04008;Joinpoint 3;3;3
"heroin";"total";2017;4.86142;4.90964;0.03981;NA;3;3
"heroin";"total";2018;4.69090;4.63526;0.03907;NA;3;3
"heroin";"total";2019;4.35489;4.37621;0.03756;NA;3;3
"heroin";"white";1999;0.74068;0.69111;0.01815;NA;2;2
"heroin";"white";2000;0.66313;0.70054;0.01702;NA;2;2
"heroin";"white";2001;0.65272;0.71010;0.01685;NA;2;2
"heroin";"white";2002;0.75897;0.71979;0.01816;NA;2;2
"heroin";"white";2003;0.76771;0.72961;0.01823;NA;2;2
"heroin";"white";2004;0.69788;0.73957;0.01737;NA;2;2
"heroin";"white";2005;0.72317;0.74966;0.01766;NA;2;2
"heroin";"white";2006;0.75860;0.75989;0.01806;NA;2;2
"heroin";"white";2007;0.87899;0.77026;0.01945;Joinpoint 1;2;2
"heroin";"white";2008;1.15181;0.96429;0.02236;NA;2;2
"heroin";"white";2009;1.21738;1.20719;0.02293;NA;2;2
"heroin";"white";2010;1.14451;1.51128;0.02231;NA;2;2
"heroin";"white";2011;1.65535;1.89197;0.02678;NA;2;2
"heroin";"white";2012;2.24546;2.36855;0.03126;NA;2;2
"heroin";"white";2013;3.07246;2.96518;0.03658;NA;2;2
"heroin";"white";2014;3.94975;3.71210;0.04154;NA;2;2
"heroin";"white";2015;4.82822;4.64717;0.04597;NA;2;2
"heroin";"white";2016;5.59839;5.81777;0.04951;Joinpoint 2;2;2
"heroin";"white";2017;5.47870;5.48103;0.04895;NA;2;2
"heroin";"white";2018;5.27176;5.16378;0.04803;NA;2;2
"heroin";"white";2019;4.79251;4.86490;0.04576;NA;2;2
"methadone";"black";1999;0.21303;0.20377;0.02546;NA;2;2
"methadone";"black";2000;0.20458;0.24955;0.02459;NA;2;2
"methadone";"black";2001;0.30720;0.30563;0.02996;NA;2;2
"methadone";"black";2002;0.41107;0.37431;0.03436;NA;2;2
"methadone";"black";2003;0.42168;0.45841;0.03449;NA;2;2
"methadone";"black";2004;0.60030;0.56142;0.04053;NA;2;2
"methadone";"black";2005;0.72077;0.68758;0.04432;NA;2;2
"methadone";"black";2006;0.85997;0.84208;0.04806;Joinpoint 1;2;2
"methadone";"black";2007;0.82283;0.79438;0.04633;NA;2;2
"methadone";"black";2008;0.64583;0.74938;0.04087;NA;2;2
"methadone";"black";2009;0.67814;0.70693;0.04130;NA;2;2
"methadone";"black";2010;0.61847;0.66688;0.03907;NA;2;2
"methadone";"black";2011;0.68970;0.62911;0.04128;NA;2;2
"methadone";"black";2012;0.58436;0.59347;0.03766;NA;2;2
"methadone";"black";2013;0.57730;0.55985;0.03735;Joinpoint 2;2;2
"methadone";"black";2014;0.60868;0.59281;0.03809;NA;2;2
"methadone";"black";2015;0.57909;0.62771;0.03691;NA;2;2
"methadone";"black";2016;0.67624;0.66467;0.03935;NA;2;2
