"opioid_type";"race";"Model";"#Obs";"#Param";"DF";"SSE";"MSE";"Auto Corr";"Segment";"Joinpoint";"Joinpoint 95% LCL";"Joinpoint 95% UCL";"Intercept Estimate";"Intercept Std Error";"Intercept Test Statistic";"Intercept P-Value";"Slope Estimate";"Slope Std Error";"Slope Test Statistic";"Slope P-Value";"SlopeChg Estimate";"SlopeChg Std Error";"SlopeChg Test Statistic";"SlopeChg P-Value"
"drug";"black";2;21;6;15;394.884855;26.325657;Uncorrelated;0;NA;NA;NA;-81.941695;34.878161;-2.349370;0.035267;0.041972;0.017420;2.409461;0.031522;NA;NA;NA;NA
"drug";"black";2;21;6;15;394.884855;26.325657;Uncorrelated;1;2006;2001;2014;59.154261;52.879475;1.118662;0.283530;-0.028365;0.026322;-1.077616;0.300796;-0.070337;0.031564;-2.228400;0.044131
"drug";"black";2;21;6;15;394.884855;26.325657;Uncorrelated;2;2012;2009;2017;-329.727300;23.421315;-14.078087;0.000000;0.164916;0.011614;14.200084;0.000000;0.193281;0.028770;6.718162;0.000014
"drug";"total";3;21;8;13;595.840126;45.833856;Uncorrelated;0;NA;NA;NA;-184.880781;15.040872;-12.291893;0.000000;0.093375;0.007511;12.431112;0.000000;NA;NA;NA;NA
"drug";"total";3;21;8;13;595.840126;45.833856;Uncorrelated;1;2006;2003;2008;-44.939863;14.562696;-3.085958;0.011523;0.023614;0.007247;3.258613;0.008594;-0.069761;0.010437;-6.683910;0.000055
"drug";"total";3;21;8;13;595.840126;45.833856;Uncorrelated;2;2013;2011;2014;-234.250679;36.686569;-6.385189;0.000080;0.117658;0.018206;6.462661;0.000072;0.094044;0.019595;4.799384;0.000724
"drug";"total";3;21;8;13;595.840126;45.833856;Uncorrelated;3;2017;2015;2017;11.336770;65.513053;0.173046;0.866068;-0.004101;0.032456;-0.126346;0.901962;-0.121759;0.037214;-3.271890;0.008403
"drug";"white";3;21;8;13;479.298548;36.869119;Uncorrelated;0;NA;NA;NA;-202.852265;14.334589;-14.151244;0.000000;0.102379;0.007159;14.301594;0.000000;NA;NA;NA;NA
"drug";"white";3;21;8;13;479.298548;36.869119;Uncorrelated;1;2006;2003;2008;-68.532196;10.688729;-6.411632;0.000077;0.035420;0.005317;6.661148;0.000056;-0.066959;0.008917;-7.508785;0.000020
"drug";"white";3;21;8;13;479.298548;36.869119;Uncorrelated;2;2014;2011;2014;-261.441945;67.636639;-3.865389;0.003133;0.131205;0.033558;3.909844;0.002914;0.095784;0.033976;2.819161;0.018187
"drug";"white";3;21;8;13;479.298548;36.869119;Uncorrelated;3;2017;2015;2017;62.824550;63.565981;0.988336;0.346298;-0.029562;0.031492;-0.938729;0.369990;-0.160767;0.046020;-3.493421;0.005790
"heroin";"black";2;21;6;15;51.475114;3.431674;Uncorrelated;0;NA;NA;NA;15.222741;20.728044;0.734403;0.475742;-0.007713;0.010343;-0.745748;0.469090;NA;NA;NA;NA
"heroin";"black";2;21;6;15;51.475114;3.431674;Uncorrelated;1;2010;2009;2011;-599.062539;44.901857;-13.341598;0.000000;0.297902;0.022300;13.359062;0.000000;0.305615;0.024581;12.432802;0.000000
"heroin";"black";2;21;6;15;51.475114;3.431674;Uncorrelated;2;2016;2015;2017;-79.099067;57.359513;-1.379005;0.191158;0.039983;0.028424;1.406683;0.182975;-0.257918;0.036127;-7.139155;0.000008
"heroin";"total";3;21;8;13;323.336258;24.872020;Uncorrelated;0;NA;NA;NA;11.271077;36.714472;0.306993;0.765146;-0.005825;0.018343;-0.317578;0.757337;NA;NA;NA;NA
"heroin";"total";3;21;8;13;323.336258;24.872020;Uncorrelated;1;2005;2001;2011;-227.383990;59.633096;-3.813050;0.003412;0.113205;0.029702;3.811305;0.003422;0.119030;0.034910;3.409633;0.006662
"heroin";"total";3;21;8;13;323.336258;24.872020;Uncorrelated;2;2010;2007;2014;-499.511448;25.126806;-19.879623;0.000000;0.248591;0.012479;19.920646;0.000000;0.135387;0.032217;4.202301;0.001822
"heroin";"total";3;21;8;13;323.336258;24.872020;Uncorrelated;3;2016;2014;2017;117.587215;40.370576;2.912696;0.015493;-0.057509;0.020006;-2.874657;0.016536;-0.306101;0.023579;-12.982130;0.000000
"heroin";"white";2;21;6;15;532.609094;35.507273;Uncorrelated;0;NA;NA;NA;-27.463566;44.265414;-0.620429;0.545698;0.013554;0.022104;0.613177;0.550337;NA;NA;NA;NA
"heroin";"white";2;21;6;15;532.609094;35.507273;Uncorrelated;1;2007;2005;2011;-451.154300;26.008599;-17.346351;0.000000;0.224660;0.012922;17.385387;0.000000;0.211106;0.025604;8.244919;0.000002
"heroin";"white";2;21;6;15;532.609094;35.507273;Uncorrelated;2;2016;2014;2017;121.963208;76.997100;1.583997;0.137209;-0.059624;0.038156;-1.562642;0.142144;-0.284284;0.040285;-7.056864;0.000009
"methadone";"black";2;21;6;15;21.304472;1.420298;Uncorrelated;0;NA;NA;NA;-406.790000;39.947760;-10.183049;0.000000;0.202701;0.019945;10.163068;0.000000;NA;NA;NA;NA
"methadone";"black";2;21;6;15;21.304472;1.420298;Uncorrelated;1;2006;2004;2007;116.807485;34.655776;3.370506;0.005019;-0.058315;0.017247;-3.381196;0.004917;-0.261016;0.026368;-9.899119;0.000000
