"opioid_type";"race";"Test #";"Null Hypothesis";"Alt Hypothesis";"Selected Hypothesis";"Numerator DF";"Denominator DF";"# of Permutations";"P-Value";"Significance level"
"drug";"black";0;0;3;3;   6;  10;10000;       0.0001000;       0.0166667
"drug";"black";1;1;3;3;   4;  10;10000;       0.0024000;       0.0250000
"drug";"black";2;2;3;3;   2;  10;10000;       0.0030000;       0.0500000
"drug";"total";0;0;3;3;   6;  10;10000;       0.0001000;       0.0166667
"drug";"total";1;1;3;3;   4;  10;10000;       0.0001000;       0.0250000
"drug";"total";2;2;3;2;   2;  10;10000;       0.5308000;       0.0500000
"drug";"white";0;0;3;3;   6;  10;10000;       0.0001000;       0.0166667
"drug";"white";1;1;3;3;   4;  10;10000;       0.0004000;       0.0250000
"drug";"white";2;2;3;2;   2;  10;10000;       0.6689000;       0.0500000
"heroin";"black";0;0;3;3;   6;  10;10000;       0.0001000;       0.0166667
"heroin";"black";1;1;3;1;   4;  10;10000;       0.7832000;       0.0250000
"heroin";"black";2;1;2;1;   2;  12;10000;       0.5609000;       0.0250000
"heroin";"total";0;0;3;3;   6;  10;10000;       0.0001000;       0.0166667
"heroin";"total";1;1;3;3;   4;  10;10000;       0.0011000;       0.0250000
"heroin";"total";2;2;3;3;   2;  10;10000;       0.0065000;       0.0500000
"heroin";"white";0;0;3;3;   6;  10;10000;       0.0001000;       0.0166667
"heroin";"white";1;1;3;3;   4;  10;10000;       0.0036000;       0.0250000
"heroin";"white";2;2;3;3;   2;  10;10000;       0.0029000;       0.0500000
"methadone";"black";0;0;3;3;   6;  10;10000;       0.0001000;       0.0166667
"methadone";"black";1;1;3;1;   4;  10;10000;       0.0365000;       0.0250000
"methadone";"black";2;1;2;2;   2;  12;10000;       0.0247000;       0.0250000
"methadone";"total";0;0;3;3;   6;  10;10000;       0.0001000;       0.0166667
"methadone";"total";1;1;3;3;   4;  10;10000;       0.0043000;       0.0250000
"methadone";"total";2;2;3;2;   2;  10;10000;       0.5102000;       0.0500000
"methadone";"white";0;0;3;3;   6;  10;10000;       0.0001000;       0.0166667
"methadone";"white";1;1;3;3;   4;  10;10000;       0.0028000;       0.0250000
"methadone";"white";2;2;3;2;   2;  10;10000;       0.6730000;       0.0500000
"natural";"black";0;0;3;3;   6;  10;10000;       0.0032000;       0.0166667
"natural";"black";1;1;3;1;   4;  10;10000;       0.1528000;       0.0250000
"natural";"black";2;1;2;1;   2;  12;10000;       0.0752000;       0.0250000
