state_abb,state_full,county,state_county,state_fips,county_fips,geoid
KY,Kentucky,Adair,"Adair County, Kentucky",21,001,21001
OH,Ohio,Adams,"Adams County, Ohio",39,001,39001
MS,Mississippi,Alcorn,"Alcorn County, Mississippi",28,003,28003
NC,North Carolina,Alexander,"Alexander County, North Carolina",37,003,37003
MD,Maryland,Allegany,"Allegany County, Maryland",24,001,24001
NY,New York,Allegany,"Allegany County, New York",36,003,36003
NC,North Carolina,Alleghany,"Alleghany County, North Carolina",37,005,37005
VA,Virginia,Alleghany,"Alleghany County, Virginia",51,005,51005
PA,Pennsylvania,Allegheny,"Allegheny County, Pennsylvania",42,003,42003
SC,South Carolina,Anderson,"Anderson County, South Carolina",45,007,45007
TN,Tennessee,Anderson,"Anderson County, Tennessee",47,001,47001
PA,Pennsylvania,Armstrong,"Armstrong County, Pennsylvania",42,005,42005
NC,North Carolina,Ashe,"Ashe County, North Carolina",37,009,37009
OH,Ohio,Ashtabula,"Ashtabula County, Ohio",39,007,39007
OH,Ohio,Athens,"Athens County, Ohio",39,009,39009
NC,North Carolina,Avery,"Avery County, North Carolina",37,011,37011
GA,Georgia,Banks,"Banks County, Georgia",13,011,13011
WV,West Virginia,Barbour,"Barbour County, West Virginia",54,001,54001
GA,Georgia,Barrow,"Barrow County, Georgia",13,013,13013
GA,Georgia,Bartow,"Bartow County, Georgia",13,015,13015
KY,Kentucky,Bath,"Bath County, Kentucky",21,011,21011
VA,Virginia,Bath,"Bath County, Virginia",51,017,51017
PA,Pennsylvania,Beaver,"Beaver County, Pennsylvania",42,007,42007
PA,Pennsylvania,Bedford,"Bedford County, Pennsylvania",42,009,42009
KY,Kentucky,Bell,"Bell County, Kentucky",21,013,21013
OH,Ohio,Belmont,"Belmont County, Ohio",39,013,39013
MS,Mississippi,Benton,"Benton County, Mississippi",28,009,28009
WV,West Virginia,Berkeley,"Berkeley County, West Virginia",54,003,54003
AL,Alabama,Bibb,"Bibb County, Alabama",01,007,01007
PA,Pennsylvania,Blair,"Blair County, Pennsylvania",42,013,42013
VA,Virginia,Bland,"Bland County, Virginia",51,021,51021
TN,Tennessee,Bledsoe,"Bledsoe County, Tennessee",47,007,47007
AL,Alabama,Blount,"Blount County, Alabama",01,009,01009
TN,Tennessee,Blount,"Blount County, Tennessee",47,009,47009
WV,West Virginia,Boone,"Boone County, West Virginia",54,005,54005
VA,Virginia,Botetourt,"Botetourt County, Virginia",51,023,51023
KY,Kentucky,Boyd,"Boyd County, Kentucky",21,019,21019
PA,Pennsylvania,Bradford,"Bradford County, Pennsylvania",42,015,42015
TN,Tennessee,Bradley,"Bradley County, Tennessee",47,011,47011
WV,West Virginia,Braxton,"Braxton County, West Virginia",54,007,54007
KY,Kentucky,Breathitt,"Breathitt County, Kentucky",21,025,21025
WV,West Virginia,Brooke,"Brooke County, West Virginia",54,009,54009
NY,New York,Broome,"Broome County, New York",36,007,36007
OH,Ohio,Brown,"Brown County, Ohio",39,015,39015
VA,Virginia,Buchanan,"Buchanan County, Virginia",51,027,51027
NC,North Carolina,Buncombe,"Buncombe County, North Carolina",37,021,37021
NC,North Carolina,Burke,"Burke County, North Carolina",37,023,37023
PA,Pennsylvania,Butler,"Butler County, Pennsylvania",42,019,42019
WV,West Virginia,Cabell,"Cabell County, West Virginia",54,011,54011
NC,North Carolina,Caldwell,"Caldwell County, North Carolina",37,027,37027
AL,Alabama,Calhoun,"Calhoun County, Alabama",01,015,01015
MS,Mississippi,Calhoun,"Calhoun County, Mississippi",28,013,28013
WV,West Virginia,Calhoun,"Calhoun County, West Virginia",54,013,54013
PA,Pennsylvania,Cambria,"Cambria County, Pennsylvania",42,021,42021
PA,Pennsylvania,Cameron,"Cameron County, Pennsylvania",42,023,42023
TN,Tennessee,Campbell,"Campbell County, Tennessee",47,013,47013
TN,Tennessee,Cannon,"Cannon County, Tennessee",47,015,47015
PA,Pennsylvania,Carbon,"Carbon County, Pennsylvania",42,025,42025
GA,Georgia,Carroll,"Carroll County, Georgia",13,045,13045
OH,Ohio,Carroll,"Carroll County, Ohio",39,019,39019
VA,Virginia,Carroll,"Carroll County, Virginia",51,035,51035
KY,Kentucky,Carter,"Carter County, Kentucky",21,043,21043
TN,Tennessee,Carter,"Carter County, Tennessee",47,019,47019
KY,Kentucky,Casey,"Casey County, Kentucky",21,045,21045
GA,Georgia,Catoosa,"Catoosa County, Georgia",13,047,13047
NY,New York,Cattaraugus,"Cattaraugus County, New York",36,009,36009
PA,Pennsylvania,Centre,"Centre County, Pennsylvania",42,027,42027
AL,Alabama,Chambers,"Chambers County, Alabama",01,017,01017
GA,Georgia,Chattooga,"Chattooga County, Georgia",13,055,13055
NY,New York,Chautauqua,"Chautauqua County, New York",36,013,36013
NY,New York,Chemung,"Chemung County, New York",36,015,36015
NY,New York,Chenango,"Chenango County, New York",36,017,36017
AL,Alabama,Cherokee,"Cherokee County, Alabama",01,019,01019
GA,Georgia,Cherokee,"Cherokee County, Georgia",13,057,13057
NC,North Carolina,Cherokee,"Cherokee County, North Carolina",37,039,37039
SC,South Carolina,Cherokee,"Cherokee County, South Carolina",45,021,45021
MS,Mississippi,Chickasaw,"Chickasaw County, Mississippi",28,017,28017
AL,Alabama,Chilton,"Chilton County, Alabama",01,021,01021
MS,Mississippi,Choctaw,"Choctaw County, Mississippi",28,019,28019
TN,Tennessee,Claiborne,"Claiborne County, Tennessee",47,025,47025
PA,Pennsylvania,Clarion,"Clarion County, Pennsylvania",42,031,42031
KY,Kentucky,Clark,"Clark County, Kentucky",21,049,21049
AL,Alabama,Clay,"Clay County, Alabama",01,027,01027
KY,Kentucky,Clay,"Clay County, Kentucky",21,051,21051
MS,Mississippi,Clay,"Clay County, Mississippi",28,025,28025
NC,North Carolina,Clay,"Clay County, North Carolina",37,043,37043
TN,Tennessee,Clay,"Clay County, Tennessee",47,027,47027
WV,West Virginia,Clay,"Clay County, West Virginia",54,015,54015
PA,Pennsylvania,Clearfield,"Clearfield County, Pennsylvania",42,033,42033
AL,Alabama,Cleburne,"Cleburne County, Alabama",01,029,01029
OH,Ohio,Clermont,"Clermont County, Ohio",39,025,39025
KY,Kentucky,Clinton,"Clinton County, Kentucky",21,053,21053
PA,Pennsylvania,Clinton,"Clinton County, Pennsylvania",42,035,42035
TN,Tennessee,Cocke,"Cocke County, Tennessee",47,029,47029
TN,Tennessee,Coffee,"Coffee County, Tennessee",47,031,47031
AL,Alabama,Colbert,"Colbert County, Alabama",01,033,01033
PA,Pennsylvania,Columbia,"Columbia County, Pennsylvania",42,037,42037
OH,Ohio,Columbiana,"Columbiana County, Ohio",39,029,39029
AL,Alabama,Coosa,"Coosa County, Alabama",01,037,01037
NY,New York,Cortland,"Cortland County, New York",36,023,36023
OH,Ohio,Coshocton,"Coshocton County, Ohio",39,031,39031
VA,Virginia,Craig,"Craig County, Virginia",51,045,51045
PA,Pennsylvania,Crawford,"Crawford County, Pennsylvania",42,039,42039
AL,Alabama,Cullman,"Cullman County, Alabama",01,043,01043
KY,Kentucky,Cumberland,"Cumberland County, Kentucky",21,057,21057
TN,Tennessee,Cumberland,"Cumberland County, Tennessee",47,035,47035
GA,Georgia,Dade,"Dade County, Georgia",13,083,13083
NC,North Carolina,Davie,"Davie County, North Carolina",37,059,37059
GA,Georgia,Dawson,"Dawson County, Georgia",13,085,13085
AL,Alabama,De Kalb,"DeKalb County, Alabama",01,049,01049
TN,Tennessee,De Kalb,"DeKalb County, Tennessee",47,041,47041
NY,New York,Delaware,"Delaware County, New York",36,025,36025
