year,death_type,counterfactual,observed,excess,cumulative_excess
1979,opioid,114.46331198938131,160,-46,-46
1980,opioid,104.71831466308434,178,-73,-119
1981,opioid,116.23407273214188,179,-63,-182
1982,opioid,147.43050810695306,248,-101,-283
1983,opioid,145.94474507387267,213,-67,-350
1984,opioid,161.30061410460706,248,-87,-437
1985,opioid,206.09658469761385,284,-78,-515
1986,opioid,232.0992939997919,329,-97,-612
1987,opioid,188.0010212503028,320,-132,-744
1988,opioid,234.66715852244116,465,-230,-974
1989,opioid,268.4289022570816,531,-263,-1237
1990,opioid,256.7144638636128,439,-182,-1419
1991,opioid,286.40769597241626,497,-211,-1630
1992,opioid,398.5807791194353,614,-215,-1845
1993,opioid,533.3387990466949,836,-303,-2148
1994,opioid,545.065603558666,862,-317,-2465
1995,opioid,613.4356488716234,935,-322,-2787
1996,opioid,638.9309665929217,824,-185,-2972
1997,opioid,736.1488260873576,865,-129,-3101
1998,opioid,869.6000798837639,900,-30,-3131
1999,opioid,1035.3871368259593,1162,-127,-3258
2000,opioid,1092.017965410897,1166,-74,-3332
2001,opioid,1270.238582345624,1152,118,-3214
2002,opioid,1634.2950661498458,1257,377,-2837
2003,opioid,1812.5962718084643,1227,586,-2251
2004,opioid,1967.7353174072894,1143,825,-1426
2005,opioid,2140.7422790778364,1256,885,-541
2006,opioid,2542.88227975663,1556,987,446
2007,opioid,2752.325029717655,1348,1404,1850
2008,opioid,2944.9714208964115,1323,1622,3472
2009,opioid,3073.1161447643985,1411,1662,5134
2010,opioid,3236.5070897092082,1355,1882,7016
2011,opioid,3522.2075901807607,1523,1999,9015
2012,opioid,3579.848150396957,1671,1909,10924
2013,opioid,3883.2984992181305,1971,1912,12836
2014,opioid,4467.757522461979,2368,2100,14936
2015,opioid,5226.851801394719,2833,2394,17330
2016,opioid,6620.495933792308,4529,2091,19421
2017,opioid,7424.814263761536,5665,1760,21181
1979,drug,848.0274981456797,900,-52,-52
1980,drug,812.6595682697506,939,-126,-178
1981,drug,811.2750582212483,1020,-209,-387
1982,drug,849.7034259666375,1060,-210,-597
1983,drug,859.7559282651529,960,-100,-697
1984,drug,883.3368557663147,1172,-289,-986
1985,drug,976.01315499811,1188,-212,-1198
1986,drug,1094.4751646495854,1450,-356,-1554
1987,drug,1036.280015451605,1612,-576,-2130
1988,drug,1180.8443477768812,1940,-759,-2889
1989,drug,1212.5672567350396,2067,-854,-3743
1990,drug,1128.1579142953165,1601,-473,-4216
1991,drug,1214.874783719731,2008,-793,-5009
1992,drug,1394.3471491469209,2182,-788,-5797
1993,drug,1580.301097958639,2715,-1135,-6932
1994,drug,1641.2329877730879,2855,-1214,-8146
1995,drug,1701.2150655874882,2862,-1161,-9307
1996,drug,1810.49129916828,2779,-969,-10276
1997,drug,1999.2689508409012,2953,-954,-11230
1998,drug,2146.8100899937835,3069,-922,-12152
1999,drug,2093.355204139376,2479,-386,-12538
